File,Column,Type,Description,Example Value
dim_player_crosswalk.parquet,nba_id,int64,Primary/Foreign Key (NBA ID),1536
dim_player_crosswalk.parquet,player_name,object,Raw Source Column,Stephen Jackson
dim_player_crosswalk.parquet,pid,object,Raw Source Column,stephen-jackson
dim_player_crosswalk.parquet,bbr_id,object,Raw Source Column,jacksst02
dim_player_nba.parquet,nba_id,int64,Primary/Foreign Key (NBA ID),1536
dim_player_nba.parquet,player_name,object,Raw Source Column,Stephen Jackson
dim_player_nba.parquet,pid,object,Raw Source Column,stephen-jackson
dim_player_nba.parquet,bbr_id,object,Raw Source Column,jacksst02
dim_player_nba.parquet,draft_year,float64,Raw Source Column,1997.0
dim_player_nba.parquet,rookie_season_year,Int64,Raw Source Column,1998
dim_player_nba.parquet,ht_first,float64,Raw Source Column,203.0
dim_player_nba.parquet,ht_max,float64,Raw Source Column,203.0
dim_player_nba.parquet,wt_first,float64,Raw Source Column,100.0
dim_player_nba.parquet,wt_max,float64,Raw Source Column,100.0
dim_player_nba.parquet,ht_peak_delta,float64,Peak Window Metric,0.0
dim_player_nba.parquet,wt_peak_delta,float64,Peak Window Metric,0.0
dim_player_nba.parquet,has_ht_multiseason,object,Raw Source Column,True
dim_player_nba.parquet,has_wt_multiseason,object,Raw Source Column,True
dim_player_nba.parquet,wingspan_const,float64,Raw Source Column,
dim_player_nba.parquet,has_wingspan,float64,Raw Source Column,0.0
fact_player_year1_epm.parquet,nba_id,int64,Primary/Foreign Key (NBA ID),1536
fact_player_year1_epm.parquet,season,float64,Raw Source Column,2004.0
fact_player_year1_epm.parquet,age,float64,Raw Source Column,21.0
fact_player_year1_epm.parquet,seasontype,float64,Raw Source Column,2.0
fact_player_year1_epm.parquet,team_id,float64,Raw Source Column,1610612737.0
fact_player_year1_epm.parquet,team_alias,object,Raw Source Column,ATL
fact_player_year1_epm.parquet,team_alias_all,object,Raw Source Column,ATL
fact_player_year1_epm.parquet,player_id,float64,Raw Source Column,2564.0
fact_player_year1_epm.parquet,player_name,object,Raw Source Column,Boris Diaw
fact_player_year1_epm.parquet,pos_text,object,Raw Source Column,SF
fact_player_year1_epm.parquet,gp,float64,Raw Source Column,76.0
fact_player_year1_epm.parquet,roster_games,float64,Raw Source Column,82.0
fact_player_year1_epm.parquet,start,float64,Raw Source Column,37.0
fact_player_year1_epm.parquet,mp,float64,Raw Source Column,1915.27
fact_player_year1_epm.parquet,rookie_year,float64,Raw Source Column,2003.0
fact_player_year1_epm.parquet,inches,float64,Raw Source Column,80.0
fact_player_year1_epm.parquet,weight,float64,Raw Source Column,250.0
fact_player_year1_epm.parquet,mpg,float64,Raw Source Column,25.1974
fact_player_year1_epm.parquet,off,float64,Raw Source Column,-2.46296
fact_player_year1_epm.parquet,def,float64,Raw Source Column,-0.0940982
fact_player_year1_epm.parquet,tot,float64,Raw Source Column,-2.55706
fact_player_year1_epm.parquet,ewins,float64,Raw Source Column,0.581946
fact_player_year1_epm.parquet,usg,float64,Raw Source Column,0.111594
