Table,Column,Type,Sample Value
bridge_lineup_athletes,gameId,VARCHAR,24
bridge_lineup_athletes,lineupHash,VARCHAR,623-624-625-626-627
bridge_lineup_athletes,teamId,BIGINT,115
bridge_lineup_athletes,totalSeconds,BIGINT,2400
bridge_lineup_athletes,pace,DOUBLE,68.5
bridge_lineup_athletes,offenseRating,DOUBLE,123.5
bridge_lineup_athletes,defenseRating,DOUBLE,78.6
bridge_lineup_athletes,netRating,DOUBLE,44.9
bridge_lineup_athletes,athleteId,INTEGER,623
dim_conference_history,id,BIGINT,1
dim_conference_history,sourceId,VARCHAR,3
dim_conference_history,name,VARCHAR,Atlantic 10 Conference
dim_conference_history,abbreviation,VARCHAR,A-10
dim_conference_history,shortName,VARCHAR,A-10
