"Antwann Jones","UNC Greensboro",SC,6,10.4,74.6,19,37.5,38.35,7.5,17.4,6.5,25.6,1,2,0.5,3,10,0.3,2,6,0.333,2,2,12.5,Sr,6-6,0,-0.621942,72.8239,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2,5,1,5,0.4000,0.2000,0,0,,,115.805,114.34,0.638109,11.1368,-7.7278,-6.30721,-1.42059,-8.81594,11.4857,-5.2721,-3.54383,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,"Wing F",5.84729,1999-05-29
"Elijah Elliott","New Mexico St.",CUSA,10,47.6,117.3,26.5,54.1,56.77,1.8,9.2,23,11.6,18,25,0.72,19,39,0.487,18,46,0.391,1.3,2.7,29.4,Sr,6-1,11,2.35823,127.106,4,2026,67572,"Houston, TX",,1.49995714,9,13,10,26,0.6923,0.3846,0,0,,,108.022,108.322,1.65981,32.7615,3.58327,4.65443,-1.07116,6.06236,18.0417,5.826,0.236353,0.2500,1.4167,1.6667,1.7500,1.0000,0.1667,9.8333,"Scoring PG",14.1219,1999-10-15
"Rahmir Moore","Delaware St.",MEAC,8,25.3,65,15.7,25.8,29.13,4.3,9.5,5.3,12.3,4,7,0.571,5,22,0.227,2,9,0.222,0,1.9,22.6,Sr,6-2,0,-1.64948,60.4631,2.3,2026,70501,"Philadelphia, PA",,1.99975998,3,9,2,13,0.3333,0.1538,0,0,,,110.431,112.366,1.12203,17.5271,-9.06467,-7.5435,-1.52117,-9.52251,16.7500,-7.01119,-2.51132,1.0000,1.0833,2.0833,0.8333,0.4167,0.0000,4.0833,"Wing G",4.35188,2000-07-26
"Alex Hemenway",Evansville,MVC,15,57.9,90.1,14.4,41.9,46.8,0.7,6.6,5.9,13.9,19,25,0.76,5,17,0.294,19,63,0.302,0.3,1,31.3,Sr,6-4,12,-0.479335,85.4681,3.2,2026,70621,"Newburgh, IN",24.0,1.00000000,3,11,2,6,0.2727,0.3333,0,0,,,115.634,112.421,1.68895,47.2531,-4.21147,-2.59071,-1.62076,-4.6711,22.3294,-3.23141,-1.43969,0.2353,1.2353,1.4706,0.7059,0.3529,0.0588,6.2941,"Combo G",10.5167,2001-06-17
"Addison Patterson","Eastern Michigan",MAC,15,72,117,20.5,61.1,61.7,7,13.9,16.7,16.6,18,28,0.643,66,106,0.623,11,29,0.379,1.7,1.8,20.7,Sr,6-7,9,2.60083,117.456,3,2026,70754,"Mississauga, Canada",,1.48000000,51,75,15,31,0.6800,0.4839,11,13,0.8462,,106.043,105.565,2.78483,76.8082,3.92593,2.40092,1.52501,4.1949,28.0375,3.33412,0.86078,1.8750,3.6250,5.5000,2.3125,0.8125,0.4375,12.2500,"Wing G",3.9356,2001-06-09
"Rienk Mast",Nebraska,B10,15,72.3,117.5,27.4,57.2,60.4,9.8,14.8,20.5,15.4,39,48,0.813,58,100,0.58,30,80,0.375,1.9,1.2,26.7,Sr,6-10,51,3.9359,130.652,2,2026,70772,"Groningen, Netherlands",,1.40627193,37,48,21,52,0.7708,0.4038,0,0,,,96.2503,93.8694,3.97008,83.283,7.68477,5.00383,2.68094,8.13058,28.9200,6.52181,1.60877,2.4667,4.1333,6.6000,3.0000,0.6000,0.4000,16.3333,"Stretch 4",10.5904,2001-07-19
"Rick Issanza","Loyola Marymount",WCC,15,34.8,111.3,11.9,64.5,59.02,11.8,14.1,3.9,19.6,5,15,0.333,20,30,0.667,0,1,0,11,0.3,48.4,Sr,7-1,22,0.411514,99.4135,6.2,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.55555556,17,24,3,6,0.7083,0.5000,12,15,0.8000,,99.8176,97.6073,1.84674,43.3131,3.34774,-2.7846,6.13234,0.076425,14.7563,-3.39942,3.47585,1.5000,1.8750,3.3750,0.3125,0.1250,1.5000,3.0625,C,0.258722,2000-10-15
"Steele Venters",Gonzaga,WCC,17,42.6,123.5,14.8,57.6,59.85,1.6,7.2,10.6,13.8,10,11,0.909,7,12,0.583,28,73,0.384,0.8,2.6,12.9,Sr,6-7,2,1.54782,117.6,3.4,2026,70941,"Ellensburg, WA",,2.09071254,6,8,1,4,0.7500,0.2500,2,2,1.0000,,94.6232,91.5534,2.47692,55.0284,6.42894,4.22942,2.19952,5.932,17.1706,3.02101,2.91099,0.2353,1.2353,1.4706,1.3529,0.8235,0.1176,6.3529,"Combo G",13.5562,2001-05-16
"Micah Thomas","Northwestern St.",Slnd,13,70.8,101.7,31.4,48.2,55.61,1.3,6.2,21.7,18.4,56,60,0.933,47,103,0.456,21,60,0.35,1,1,36.8,Sr,6-0,5,2.55565,117.444,2.7,2026,70961,"Oklahoma City, OK",,1.02779166,17,32,30,71,0.5313,0.4225,0,0,,,123.879,124.784,0.849506,42.2972,-4.95905,0.244574,-5.20362,-2.45131,27.8133,2.33997,-4.79128,0.3333,1.4000,1.7333,2.4667,0.8000,0.2000,16.6667,"Scoring PG",9.61002,2000-10-15
"Rashaun Agee","Texas A&M",SEC,15,56,126.1,23.7,55.6,61.01,12.2,28.7,13.5,12.3,57,75,0.76,59,93,0.634,7,32,0.219,3.7,2.5,60,Sr,6-7,12,2.95645,129.433,3.8,2026,71003,"Chicago, IL",,1.42101517,49,72,10,21,0.6806,0.4762,10,11,0.9091,,95.9172,94.9387,2.99457,85.8693,7.29472,3.41445,3.88028,7.53141,22.6067,5.21933,2.31209,2.4667,5.8667,8.3333,1.8000,1.0667,0.7333,13.0667,"Stretch 4",4.92826,2000-11-02
