year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2008,1,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html,,,,,,,,,,,,
2008,2,Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html,,,,,,,,,,,,
2008,3,O.J. Mayo,https://www.basketball-reference.com/players/m/mayooj01.html,9.8,5.9,15.6,-0.1,21.8,0.062,-0.7,10.1,11.7,325.0,16919.0,0.7
2008,4,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,,,,,,,,,,,,
2008,5,Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html,,,,,,,,,,,,
2008,6,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html,,,,,,,,,,,,
2008,7,Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,,,,,,,,,,,,
2008,8,Joe Alexander,https://www.basketball-reference.com/players/a/alexajo01.html,12.2,9.5,9.5,-3.6,0.5,0.03,-0.1,-0.3,0.8,0.0,745.0,3.3
2008,9,D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,,,,,,,,,,,,
2008,10,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,15.0,11.1,8.1,1.1,92.0,0.13,0.1,53.3,38.7,1071.0,34045.0,5.1
2008,11,Jerryd Bayless,https://www.basketball-reference.com/players/b/bayleje01.html,9.9,5.8,21.2,-1.1,18.6,0.072,-0.5,8.7,9.9,99.0,12486.0,0.5
2008,12,Jason Thompson,https://www.basketball-reference.com/players/t/thompja02.html,20.3,14.9,6.8,-1.7,23.8,0.077,-0.9,13.6,10.1,412.0,14819.0,2.1
2008,13,Brandon Rush,https://www.basketball-reference.com/players/r/rushbr01.html,12.8,7.4,6.6,-1.1,11.2,0.051,-0.3,3.2,8.0,163.0,10564.0,1.9
2008,14,Anthony Randolph,https://www.basketball-reference.com/players/r/randoan01.html,21.4,15.5,7.8,-1.6,5.8,0.072,0.0,1.2,4.6,43.0,3841.0,4.2
2008,15,Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html,13.1,12.2,6.2,-0.5,49.6,0.114,-0.6,31.8,17.8,607.0,20937.0,3.9
2008,16,Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html,20.5,15.3,7.2,-1.2,25.8,0.116,-1.1,12.2,13.5,78.0,10640.0,2.6
2008,17,Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html,17.8,14.1,9.2,-1.9,35.9,0.105,0.8,11.0,24.9,586.0,16389.0,5.3
2008,18,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,,,,,,,,,,,,
2008,19,J.J. Hickson,https://www.basketball-reference.com/players/h/hicksjj01.html,23.7,17.3,6.4,-0.8,21.9,0.088,-1.0,9.2,12.7,307.0,11925.0,2.0
2008,20,Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,23.5,16.6,5.9,-2.9,7.5,0.093,0.1,2.9,4.6,76.0,3905.0,3.7
2008,21,Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html,14.9,11.7,5.8,2.6,46.7,0.134,-1.5,34.3,12.4,289.0,16769.0,1.0
2008,22,Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html,9.1,5.5,9.6,-1.0,39.3,0.086,0.4,20.9,18.4,518.0,21938.0,0.8
2008,23,Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html,22.7,17.4,4.9,-1.3,28.3,0.12,0.0,13.5,14.7,228.0,11271.0,3.7
2008,24,Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html,,,,,,,,,,,,
2008,25,Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html,,,,,,,,,,,,
2008,26,George Hill,https://www.basketball-reference.com/players/h/hillge01.html,,,,,,,,,,,,
2008,27,Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html,15.9,11.4,7.2,-2.5,12.3,0.066,0.3,2.4,10.0,106.0,8945.0,2.7
2008,28,Donté Greene,https://www.basketball-reference.com/players/g/greendo01.html,12.6,8.0,6.7,-2.0,1.5,0.017,-0.8,-0.8,2.3,82.0,4259.0,2.0
2008,29,D.J. White,https://www.basketball-reference.com/players/w/whitedj01.html,17.9,12.1,7.0,-1.2,3.8,0.087,-0.9,2.4,1.4,11.0,2111.0,2.1
2008,30,J.R. Giddens,https://www.basketball-reference.com/players/g/giddejr01.html,17.1,12.8,7.9,-4.2,0.1,0.027,-0.1,-0.1,0.3,1.0,247.0,0.6
2008,31,Nikola Peković,https://www.basketball-reference.com/players/p/pekovni01.html,17.1,15.0,5.1,0.8,18.8,0.134,-1.4,13.5,5.2,194.0,6744.0,1.7
2008,32,Walter Sharpe,https://www.basketball-reference.com/players/s/sharpwa01.html,18.0,8.9,0.0,-9.1,-0.1,-0.131,-1.1,-0.1,0.0,0.0,20.0,7.7
2008,33,Joey Dorsey,https://www.basketball-reference.com/players/d/dorsejo01.html,24.3,19.6,5.4,-3.1,2.9,0.092,0.4,0.7,2.2,26.0,1488.0,2.3
2008,34,Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html,9.4,5.5,21.5,-1.5,32.3,0.09,0.9,12.0,20.3,400.0,17245.0,0.5
2008,35,DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html,,,,,,,,,,,,
2008,36,Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html,28.1,20.5,4.5,-1.9,20.9,0.109,0.0,7.2,13.6,262.0,9216.0,2.8
2008,37,Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,13.3,9.8,5.7,-2.2,26.0,0.078,0.7,6.5,19.5,453.0,16038.0,1.3
2008,38,Kyle Weaver,https://www.basketball-reference.com/players/w/weaveky01.html,10.5,6.6,13.0,-2.2,1.5,0.051,1.1,0.2,1.3,19.0,1379.0,1.8
2008,39,Sonny Weems,https://www.basketball-reference.com/players/w/weemsso01.html,11.0,7.1,12.0,-2.6,0.0,0.001,-1.5,-0.6,0.6,47.0,3335.0,0.6
