year,pick,player_name,profile_url
2008,1,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html
2008,2,Michael Beasley,https://www.basketball-reference.com/players/b/beaslmi01.html
2008,3,O.J. Mayo,https://www.basketball-reference.com/players/m/mayooj01.html
2008,4,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
2008,5,Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html
2008,6,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html
2008,7,Eric Gordon,https://www.basketball-reference.com/players/g/gordoer01.html
2008,8,Joe Alexander,https://www.basketball-reference.com/players/a/alexajo01.html
2008,9,D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html
2008,10,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html
2008,11,Jerryd Bayless,https://www.basketball-reference.com/players/b/bayleje01.html
2008,12,Jason Thompson,https://www.basketball-reference.com/players/t/thompja02.html
2008,13,Brandon Rush,https://www.basketball-reference.com/players/r/rushbr01.html
2008,14,Anthony Randolph,https://www.basketball-reference.com/players/r/randoan01.html
2008,15,Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html
2008,16,Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html
2008,17,Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html
2008,18,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html
2008,19,J.J. Hickson,https://www.basketball-reference.com/players/h/hicksjj01.html
2008,20,Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html
2008,21,Ryan Anderson,https://www.basketball-reference.com/players/a/anderry01.html
2008,22,Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html
2008,23,Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html
2008,24,Serge Ibaka,https://www.basketball-reference.com/players/i/ibakase01.html
2008,25,Nicolas Batum,https://www.basketball-reference.com/players/b/batumni01.html
2008,26,George Hill,https://www.basketball-reference.com/players/h/hillge01.html
2008,27,Darrell Arthur,https://www.basketball-reference.com/players/a/arthuda01.html
2008,28,Donté Greene,https://www.basketball-reference.com/players/g/greendo01.html
2008,29,D.J. White,https://www.basketball-reference.com/players/w/whitedj01.html
2008,30,J.R. Giddens,https://www.basketball-reference.com/players/g/giddejr01.html
2008,31,Nikola Peković,https://www.basketball-reference.com/players/p/pekovni01.html
2008,32,Walter Sharpe,https://www.basketball-reference.com/players/s/sharpwa01.html
2008,33,Joey Dorsey,https://www.basketball-reference.com/players/d/dorsejo01.html
2008,34,Mario Chalmers,https://www.basketball-reference.com/players/c/chalmma01.html
2008,35,DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html
2008,36,Ömer Aşık,https://www.basketball-reference.com/players/a/asikom01.html
2008,37,Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html
2008,38,Kyle Weaver,https://www.basketball-reference.com/players/w/weaveky01.html
2008,39,Sonny Weems,https://www.basketball-reference.com/players/w/weemsso01.html
2008,40,Chris Douglas-Roberts,https://www.basketball-reference.com/players/d/douglch01.html
2008,41,Nathan Jawai,https://www.basketball-reference.com/players/j/jawaina01.html
2008,42,Sean Singletary,https://www.basketball-reference.com/players/s/singlse01.html
2008,43,Patrick Ewing,https://www.basketball-reference.com/players/e/ewingpa02.html
2008,44,Ante Tomić,https://www.basketball-reference.com/players/t/tomican01.html
2008,45,Goran Dragić,https://www.basketball-reference.com/players/d/dragigo01.html
2008,46,Trent Plaisted,https://www.basketball-reference.com/players/p/plaistr01.html
2008,47,Henry Walker,https://www.basketball-reference.com/players/w/walkebi01.html
2008,48,Malik Hairston,https://www.basketball-reference.com/players/h/hairsma01.html
2008,49,Richard Hendrix,https://www.basketball-reference.com/players/h/hendrri02.html
2008,50,DeVon Hardin,https://www.basketball-reference.com/players/h/hardide01.html
2008,51,Shan Foster,https://www.basketball-reference.com/players/f/fostesh01.html
2008,52,Darnell Jackson,https://www.basketball-reference.com/players/j/jacksda01.html
2008,53,Tadija Dragićević,https://www.basketball-reference.com/players/d/dragita01.html
2008,54,Maarty Leunen,https://www.basketball-reference.com/players/l/leunema01.html
2008,55,Mike Taylor,https://www.basketball-reference.com/players/t/taylomi01.html
2008,56,Sasha Kaun,https://www.basketball-reference.com/players/k/kaunsa01.html
2008,57,James Gist,https://www.basketball-reference.com/players/g/gistja01.html
2008,58,Joe Crawford,https://www.basketball-reference.com/players/c/crawfjo01.html
2008,59,Deron Washington,https://www.basketball-reference.com/players/w/washide02.html
2008,60,Semih Erden,https://www.basketball-reference.com/players/e/erdense01.html
2009,1,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html
2009,2,Hasheem Thabeet,https://www.basketball-reference.com/players/t/thabeha01.html
2009,3,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
2009,4,Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html
2009,5,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html
2009,6,Jonny Flynn,https://www.basketball-reference.com/players/f/flynnjo01.html
2009,7,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html
2009,8,Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html
2009,9,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html
2009,10,Brandon Jennings,https://www.basketball-reference.com/players/j/jennibr01.html
2009,11,Terrence Williams,https://www.basketball-reference.com/players/w/willite01.html
2009,12,Gerald Henderson,https://www.basketball-reference.com/players/h/hendege02.html
2009,13,Tyler Hansbrough,https://www.basketball-reference.com/players/h/hansbty01.html
2009,14,Earl Clark,https://www.basketball-reference.com/players/c/clarkea01.html
2009,15,Austin Daye,https://www.basketball-reference.com/players/d/dayeau01.html
2009,16,James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html
2009,17,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html
2009,18,Ty Lawson,https://www.basketball-reference.com/players/l/lawsoty01.html
2009,19,Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html
2009,20,Eric Maynor,https://www.basketball-reference.com/players/m/maynoer01.html
2009,21,Darren Collison,https://www.basketball-reference.com/players/c/collida01.html
2009,22,Victor Claver,https://www.basketball-reference.com/players/c/clavevi01.html
2009,23,Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html
