_id,key,conf,team,year,style,posFreqs,doc_count,posClass,code,posConfidences,adj_rtg_margin_rank,def_adj_rtg_rank,off_adj_rtg_rank,adj_prod_margin_rank,def_adj_prod_rank,off_adj_prod_rank,adj_rapm_margin_rank,def_adj_rapm_rank,off_adj_rapm_rank,adj_rapm_prod_margin_rank,def_adj_rapm_prod_rank,off_adj_rapm_prod_rank,total_off_2p_attempts.value,total_off_3p_attempts.value,total_off_2prim_attempts.value,total_off_2pmid_attempts.value,off_adj_opp.value,off_poss.value,def_adj_opp.value,duration_mins.value,off_2p.value,off_2p_ast.value,off_3p.value,off_3p_ast.value,off_2prim.value,off_2prim_ast.value,off_2pmid.value,off_2pmid_ast.value,off_ft.value,off_ftr.value,off_2primr.value,off_2pmidr.value,off_3pr.value,off_scramble_2p.value,off_scramble_2p_ast.value,off_scramble_3p.value,off_scramble_3p_ast.value,off_scramble_2prim.value,off_scramble_2prim_ast.value,off_scramble_2pmid.value,off_scramble_2pmid_ast.value,off_scramble_ft.value,off_scramble_ftr.value,off_scramble_2primr.value,off_scramble_2pmidr.value,off_scramble_3pr.value,off_scramble_assist.value,off_trans_2p.value,off_trans_2p_ast.value,off_trans_3p.value,off_trans_3p_ast.value,off_trans_2prim.value,off_trans_2prim_ast.value,off_trans_2pmid.value,off_trans_2pmid_ast.value,off_trans_ft.value,off_trans_ftr.value,off_trans_2primr.value,off_trans_2pmidr.value,off_trans_3pr.value,off_trans_assist.value,off_ast_rim.value,off_ast_mid.value,off_ast_3p.value,off_efg.value,off_scramble_efg.value,off_trans_efg.value,off_team_poss.value,off_assist.value,off_to.value,off_orb.value,off_usage.value,def_team_poss.value,def_orb.value,def_ftr.value,def_to.value,def_2prim.value,off_team_poss_pct.value,def_team_poss_pct.value,off_rtg.value,off_adj_rtg.value,off_adj_prod.value,def_rtg.value,def_rtg.old_value,def_rtg.override,def_adj_rtg.value,def_adj_rtg.old_value,def_adj_rtg.override,def_adj_prod.value,def_adj_prod.old_value,def_adj_prod.override,roster.ncaa_id,roster.number,roster.height,roster.year_class,roster.pos,roster.origin,off_adj_rapm.value,off_adj_rapm.old_value,def_adj_rapm.value,def_adj_rapm.override,def_adj_rapm.old_value,off_adj_rapm_prod.value,def_adj_rapm_prod.value,def_adj_rapm_prod.old_value,def_adj_rapm_prod.override,tier,gender
4432827_Men_2021_all,"Tshiebwe, Oscar",Southeastern Conference,Kentucky,2021,"[[5, 1.2773, 0.0146, 0.0039], [7, 1.0926, 0.0027, 0.0007], [8, 1.4492, 0.1863, 0.0501], [9, 0.9178, 0.4061, 0.1092], [10, 0.9598, 0.0645, 0.0174], [12, 1.1493, 0.0291, 0.0078], [13, 1.2083, 0.1739, 0.0468], [14, 1.3803, 0.1228, 0.033]]","[0, 0, 0, 0.0852, 0.9148]",518,C,OsTshiebwe,"[0, 0, 0.0005, 0.0124, 0.9871]",3,71,4,1,21,2,1,113,2,2,53,2,393,0,229,164,106.8001,473.6996,97.2464,1086.9167,0.6056,0,0.0,0.0,0.7642,0.5543,0.3841,0.6349,0.6909,0.4198,0.5827,0.4173,0.0,0.6184,0,0.0,0.0,0.6935,0.0233,0.2857,0.25,0.5714,0.4605,0.8158,0.1842,0.0,0.1915,0.7391,0,0.0,0.0,0.8611,0.7419,0.3,1.0,0.7273,0.4783,0.7826,0.2174,0.0,0.1176,0.3889,0.1667,0.4444,0.6056,0.6184,0.7391,1830,0.0595,0.1393,0.1923,0.2513,1817,0.3537,0.0339,0.033,0.056,0.7797,0.7729,127.2892,7.7141,6.0148,92.8473,83.8576,Luck adjusted,-2.6887,-4.4209,Luck adjusted,-2.078,-3.4168,Luck adjusted,4432827.0,34.0,6-9,Jr,F,"Lubumbashi, Congo",8.3504,8.42,-2.5355,Adjusted from Def 3P%,-3.174,6.511,-1.9596,-2.4531,Adjusted from Def 3P%,High,Men
4594327_Men_2021_all,"Murray, Keegan",Big Ten Conference,Iowa,2021,"[[0, 1.0902, 0.0849, 0.0284], [1, 1.0229, 0.0272, 0.0091], [2, 1.1167, 0.0713, 0.0239], [3, 0.9846, 0.036, 0.012], [4, 0.845, 0.0313, 0.0105], [5, 1.1599, 0.0039, 0.0013], [6, 1.3525, 0.0406, 0.0136], [7, 1.087, 0.0104, 0.0035], [8, 1.3774, 0.0591, 0.0198], [9, 1.0177, 0.1657, 0.0555], [10, 0.9846, 0.0517, 0.0173], [11, 1.134, 0.0767, 0.0257], [12, 1.1078, 0.0162, 0.0054], [13, 1.3865, 0.1258, 0.0421], [14, 1.4483, 0.1992, 0.0667]]","[0, 0, 0.0104, 0.932, 0.0576]",466,S-PF,KeMurray,"[0, 0.0064, 0.2579, 0.7149, 0.0207]",2,438,1,2,336,1,2,311,1,3,203,1,388,166,276,112,107.2286,595.2001,99.3298,1116.9317,0.6211,0,0.3976,0.8636,0.7138,0.4365,0.3929,0.4091,0.7474,0.343,0.4982,0.2022,0.2996,0.6986,0,0.5,1.0,0.7692,0.12,0.125,0.0,0.6087,0.2771,0.7831,0.0964,0.1205,0.1071,0.7273,0,0.5,1.0,0.7952,0.5606,0.375,0.3333,0.7727,0.3697,0.6975,0.1345,0.1681,0.1951,0.2308,0.0962,0.6731,0.6137,0.7048,0.7311,1927,0.099,0.0655,0.0978,0.2906,1905,0.2057,0.0239,0.0236,0.0634,0.7632,0.756,134.2076,9.5714,7.3046,102.1342,95.2503,Luck adjusted,-0.9777,-2.299,Luck adjusted,-0.7391,-1.7379,Luck adjusted,4594327.0,15.0,6-8,So,F,"Cedar Rapids, IA",9.2635,9.4164,-1.4001,Adjusted from Def 3P%,-1.8243,7.0696,-1.0584,-1.3791,Adjusted from Def 3P%,High,Men
4433255_Men_2021_all,"Holmgren, Chet",West Coast Conference,Gonzaga,2021,"[[0, 1.0676, 0.0357, 0.0094], [1, 1.1049, 0.0151, 0.004], [2, 0.9877, 0.035, 0.0093], [3, 0.9091, 0.007, 0.0019], [4, 1.0917, 0.0089, 0.0024], [5, 1.205, 0.046, 0.0122], [6, 1.4018, 0.029, 0.0077], [7, 1.1259, 0.0183, 0.0048], [8, 1.4228, 0.0991, 0.0262], [9, 1.0697, 0.1671, 0.0442], [10, 1.0745, 0.0688, 0.0182], [11, 1.0231, 0.0848, 0.0224], [12, 1.1898, 0.0555, 0.0147], [13, 1.3875, 0.0982, 0.026], [14, 1.3711, 0.2314, 0.0612]]","[0, 0, 0, 0.7175, 0.2825]",381,PF/C,ChHolmgren,"[0, 0, 0.0054, 0.7548, 0.2399]",5,9,17,4,5,26,3,4,16,7,4,22,175,105,142,33,105.296,353.4595,99.694,858.415,0.7371,0,0.3905,0.7805,0.7817,0.4955,0.5455,0.2778,0.7172,0.3536,0.5071,0.1179,0.375,0.8,0,0.0,0.0,0.8148,0.0455,0.6667,0.0,0.7333,0.4412,0.7941,0.0882,0.1176,0.0417,0.7857,0,0.4667,0.619,0.8462,0.4545,0.0,0.0,0.6667,0.4521,0.3562,0.0274,0.6164,0.4186,0.623,0.0656,0.3115,0.6804,0.7059,0.7329,1556,0.1125,0.1726,0.0839,0.2217,1562,0.2842,0.0381,0.0166,0.1242,0.6675,0.6658,126.7324,6.1414,4.0995,86.2137,75.2078,Luck adjusted,-3.7296,-5.8807,Luck adjusted,-2.4832,-3.9155,Luck adjusted,4433255.0,34.0,7-0,Fr,C,"Minneapolis, MN",5.8678,5.8116,-4.5071,Adjusted from Def 3P%,-5.1862,3.9169,-3.0009,-3.4531,Adjusted from Def 3P%,High,Men
4397018_Men_2021_all,"Agbaji, Ochai",Big 12 Conference,Kansas,2021,"[[0, 0.8955, 0.2076, 0.0591], [1, 1.0288, 0.035, 0.01], [2, 1.2241, 0.1955, 0.0557], [3, 1.1722, 0.0359, 0.0102], [4, 0.5232, 0.0717, 0.0204], [5, 1.1081, 0.0217, 0.0062], [6, 1.388, 0.0833, 0.0237], [7, 1.0022, 0.0476, 0.0135], [9, 0.7512, 0.0066, 0.0019], [13, 1.1024, 0.0612, 0.0174], [14, 1.2035, 0.2338, 0.0666]]","[0, 0.5483, 0.4217, 0.0301, 0]",635,WG,OcAgbaji,"[0.0181, 0.5197, 0.4067, 0.0555, 0]",31,90,49,10,14,25,4,33,9,1,7,3,291,252,173,118,108.5822,601.6643,95.0435,1368.6783,0.5326,0,0.4087,0.8544,0.711,0.5285,0.2712,0.3438,0.7434,0.2799,0.3186,0.2173,0.4641,0.6471,0,0.2727,1.0,0.6154,0.0,0.75,0.3333,0.7059,0.4359,0.3333,0.1026,0.5641,0.2353,0.6203,0,0.3731,0.84,0.7,0.6429,0.3684,0.2857,0.7714,0.2397,0.411,0.1301,0.4589,0.2027,0.6452,0.129,0.2258,0.57,0.5128,0.5925,2362,0.0846,0.133,0.0286,0.2344,2346,0.1278,0.0194,0.0153,0.0165,0.8503,0.8448,113.4987,4.9261,4.1885,95.0499,95.8639,Luck adjusted,-2.5648,-2.4106,Luck adjusted,-2.1668,-2.0364,Luck adjusted,4397018.0,30.0,6-5,Sr,G,"Kansas City, MO",6.6014,6.3347,-3.4302,Adjusted from Def 3P%,-3.796,5.6128,-2.8978,-3.2069,Adjusted from Def 3P%,High,Men
4576062_Men_2021_all,"Pack, Nijel",Big 12 Conference,Kansas St.,2021,"[[0, 0.9142, 0.2035, 0.0671], [1, 0.89, 0.1367, 0.0451], [2, 1.2503, 0.2269, 0.0748], [3, 1.1692, 0.0941, 0.031], [4, 0.866, 0.0962, 0.0317], [5, 0.9443, 0.0585, 0.0193], [6, 1.3525, 0.0214, 0.0071], [7, 1.0586, 0.0295, 0.0097], [9, 0.5105, 0.0021, 0.0007], [13, 1.2185, 0.0397, 0.0131], [14, 1.2774, 0.0914, 0.0301]]","[0.3817, 0.6183, 0, 0, 0]",484,CG,NiPack,"[0.3858, 0.5955, 0.0182, 0.0005, 0]",17,259,9,9,135,7,5,143,5,5,70,6,167,218,57,110,107.3725,404.8853,95.2374,957.975,0.479,0,0.4358,0.6947,0.5614,0.1875,0.4364,0.2292,0.8451,0.1844,0.1481,0.2857,0.5662,0.6667,0,0.2857,1.0,0.8333,0.0,0.5,0.3333,0.75,0.4211,0.3158,0.3158,0.3684,0.1,0.4118,0,0.5,0.5333,0.5833,0.2857,0.0,0.0,0.875,0.1702,0.2553,0.1064,0.6383,0.5455,0.4615,0.0462,0.4923,0.5779,0.5789,0.6277,1593,0.1625,0.1062,0.0264,0.2481,1584,0.1084,0.0217,0.0246,0.0038,0.7629,0.7597,120.3699,6.7297,5.1343,98.6047,99.5589,Luck adjusted,-1.6805,-1.4976,Luck adjusted,-1.2767,-1.1378,Luck adjusted,4576062.0,24.0,6-0,So,G,"Indianapolis, IN",7.1619,6.9434,-2.3328,Adjusted from Def 3P%,-2.5984,5.464,-1.7722,-1.9741,Adjusted from Def 3P%,High,Men
4600663_Men_2021_all,"Edey, Zach",Big Ten Conference,Purdue,2021,"[[5, 1.0956, 0.03, 0.0124], [7, 1.2321, 0.0023, 0], [8, 1.3079, 0.2878, 0.1184], [9, 0.8619, 0.2949, 0.1213], [10, 1.0633, 0.1374, 0.0565], [12, 1.1644, 0.0422, 0.0174], [13, 1.43, 0.1722, 0.0709], [14, 1.3793, 0.0332, 0.0136]]","[0, 0, 0, 0, 1]",361,C,ZaEdey,"[0, 0, 0, 0.0003, 0.9997]",1,110,2,26,179,17,6,239,3,60,283,30,324,0,243,81,108.2602,424.6333,98.9034,702.3217,0.6481,0,0.0,0.0,0.7325,0.6461,0.3951,0.75,0.6494,0.537,0.75,0.25,0.0,0.7286,0,0.0,0.0,0.7581,0.0638,0.5,0.5,0.7045,0.6286,0.8857,0.1143,0.0,0.0196,0.8,0,0.0,0.0,0.7778,1.0,1.0,1.0,0.6667,0.6,0.9,0.1,0.0,0.125,0.3182,0.0682,0.6136,0.6481,0.7286,0.8,1174,0.1457,0.1507,0.2097,0.3373,1141,0.2745,0.0454,0.0079,0.0758,0.4749,0.4627,126.6757,9.3501,4.4405,95.4985,94.6126,Luck adjusted,-2.426,-2.5944,Luck adjusted,-1.1225,-1.2004,Luck adjusted,4600663.0,15.0,7-4,So,C,"Toronto, Canada",7.6242,7.6818,-1.7334,Adjusted from Def 3P%,-1.8534,3.6209,-0.8021,-0.8575,Adjusted from Def 3P%,High,Men
4433192_Men_2021_all,"Eason, Tari",Southeastern Conference,LSU,2021,"[[0, 0.873, 0.2385, 0.0784], [1, 0.8445, 0.0153, 0.005], [2, 1.0888, 0.0916, 0.0301], [3, 1.0103, 0.0213, 0.007], [4, 0.6671, 0.057, 0.0187], [5, 0.9634, 0.0185, 0.0061], [6, 1.2086, 0.0873, 0.0287], [7, 0.9821, 0.0089, 0.0029], [8, 1.2356, 0.0232, 0.0076], [9, 0.8159, 0.073, 0.024], [10, 0.7989, 0.0059, 0.002], [11, 1.1306, 0.0196, 0.0064], [12, 0.8719, 0.003, 0.001], [13, 1.3019, 0.1201, 0.0395], [14, 1.3936, 0.2166, 0.0712]]","[0, 0, 0, 0.3774, 0.6226]",580,WF,TaEason,"[0.0004, 0.0251, 0.5255, 0.4366, 0.0124]",4,46,6,18,46,23,7,18,20,27,32,48,287,78,216,71,107.5136,465.3214,97.3999,807.8067,0.5645,0,0.359,0.8571,0.6389,0.442,0.338,0.4583,0.8032,0.5151,0.5918,0.1945,0.2137,0.587,0,0.5,1.0,0.6667,0.2308,0.1429,1.0,0.8519,0.54,0.78,0.14,0.08,0.1724,0.7183,0,0.0,0.0,0.7059,0.5417,1.0,0.3333,0.8793,0.7436,0.8718,0.0385,0.0897,0.2941,0.5625,0.125,0.3125,0.5589,0.6,0.6538,1438,0.095,0.1547,0.1067,0.3091,1424,0.1956,0.0447,0.0449,0.0633,0.6004,0.5973,116.9269,7.0077,4.2075,92.0187,80.1115,Luck adjusted,-2.966,-5.2452,Luck adjusted,-1.7716,-3.1331,Luck adjusted,4433192.0,13.0,6-8,So,F,"Los Angeles, CA",5.4995,5.665,-3.6822,Adjusted from Def 3P%,-4.75,3.302,-2.1994,-2.8373,Adjusted from Def 3P%,High,Men
4432828_Men_2021_all,"Cockburn, Kofi",Big Ten Conference,Illinois,2021,"[[5, 1.1069, 0.0055, 0.0019], [7, 1.1484, 0.0004, 0], [8, 1.2221, 0.3175, 0.11], [9, 0.8616, 0.3539, 0.1226], [10, 0.9954, 0.0791, 0.0274], [12, 1.0513, 0.0508, 0.0176], [13, 1.2529, 0.1294, 0.0448], [14, 1.5139, 0.0636, 0.022]]","[0, 0, 0, 0.0305, 0.9695]",454,C,KoCockburn,"[0, 0, 0.0047, 0.0193, 0.976]",6,55,8,13,43,15,8,205,6,20,166,10,381,0,268,113,110.0762,481.6488,98.0682,859.095,0.5932,0,0.0,0.0,0.6716,0.75,0.4071,0.6087,0.6552,0.5328,0.7034,0.2966,0.0,0.6071,0,0.0,0.0,0.6222,0.1429,0.5455,0.0,0.6857,0.625,0.8036,0.1964,0.0,0.0882,0.8077,0,0.0,0.0,0.8636,1.0,0.5,1.0,0.7143,0.5385,0.8462,0.1538,0.0,0.0476,0.1364,0.0,0.8636,0.5932,0.6071,0.8077,1443,0.0609,0.135,0.1331,0.3081,1438,0.2554,0.0326,0.016,0.0303,0.6512,0.6425,117.2112,6.854,4.4631,94.812,93.9317,Luck adjusted,-2.8538,-3.0184,Luck adjusted,-1.8337,-1.9394,Luck adjusted,4432828.0,21.0,7-0,Jr,C,"Kingston, Jamaica",7.0634,7.2889,-1.9261,Adjusted from Def 3P%,-2.0647,4.5995,-1.2376,-1.3266,Adjusted from Def 3P%,High,Men
4432180_Men_2021_all,"Dickinson, Hunter",Big Ten Conference,Michigan,2021,"[[0, 1.0039, 0.0498, 0.0169], [1, 1.0516, 0.0202, 0.0069], [2, 0.9711, 0.0203, 0.0069], [3, 0.8997, 0.005, 0.0017], [4, 0.9609, 0.0362, 0.0123], [5, 1.0892, 0.0489, 0.0166], [6, 1.3422, 0.0254, 0.0086], [7, 1.2208, 0.0121, 0.0041], [8, 1.3574, 0.1001, 0.0339], [9, 0.9881, 0.3228, 0.1094], [10, 1.0025, 0.0991, 0.0336], [11, 1.0395, 0.0621, 0.021], [12, 1.1692, 0.0385, 0.013], [13, 1.3763, 0.103, 0.0349], [14, 1.2558, 0.0565, 0.0191]]","[0, 0, 0, 0.5317, 0.4683]",371,PF/C,HuDickinson,"[0, 0.0001, 0.0267, 0.3293, 0.6439]",23,394,7,14,266,5,9,168,7,8,96,8,354,63,170,184,110.0884,471.0111,97.2413,996.575,0.6017,0,0.3333,0.9524,0.7118,0.5289,0.5,0.5326,0.807,0.2734,0.4077,0.4412,0.1511,0.6327,0,1.0,1.0,0.7143,0.16,0.4286,0.3333,0.8571,0.56,0.7,0.28,0.02,0.0625,0.8182,0,0.1111,1.0,0.8571,0.8333,0.75,0.8333,1.0,0.0968,0.4516,0.2581,0.2903,0.4211,0.5143,0.0857,0.4,0.5863,0.65,0.629,1689,0.1493,0.1316,0.0937,0.2691,1674,0.2263,0.0355,0.0078,0.05,0.7656,0.7578,121.4383,6.9492,5.3206,103.903,98.9659,Luck adjusted,-1.1563,-2.0792,Luck adjusted,-0.8762,-1.5757,Luck adjusted,4432180.0,1.0,7-2,So,C,"Alexandria, VA",6.717,6.9305,-2.1278,Adjusted from Def 3P%,-2.5744,5.1428,-1.6125,-1.9509,Adjusted from Def 3P%,High,Men
4431767_Men_2021_all,"Braun, Christian",Big 12 Conference,Kansas,2021,"[[0, 0.7599, 0.2221, 0.0589], [1, 1.0405, 0.1271, 0.0337], [2, 1.1724, 0.1188, 0.0315], [3, 1.074, 0.0191, 0.0051], [4, 0.6395, 0.0339, 0.009], [5, 1.1592, 0.0548, 0.0145], [6, 1.0458, 0.083, 0.022], [7, 0.9682, 0.0494, 0.0131], [9, 0.8049, 0.0096, 0.0026], [13, 1.2988, 0.0673, 0.0178], [14, 1.3022, 0.2149, 0.057]]","[0, 0.0025, 0.6541, 0.3395, 0.0038]",640,WG,ChBraun,"[0.0222, 0.3834, 0.4641, 0.1302, 0.0002]",45,83,68,16,12,32,10,32,28,4,6,11,286,132,217,69,108.554,484.7409,94.6658,1375.3217,0.5455,0,0.3864,0.8824,0.6037,0.4427,0.3623,0.12,0.7333,0.323,0.5191,0.1651,0.3158,0.6667,0,0.3846,1.0,0.6667,0.125,0.6667,0.5,0.8889,0.225,0.6,0.075,0.325,0.3043,0.7021,0,0.2917,0.8571,0.7229,0.5,0.5455,0.1667,0.7674,0.3644,0.7034,0.0932,0.2034,0.3973,0.4865,0.045,0.4685,0.5562,0.6375,0.6483,2365,0.1453,0.1671,0.049,0.205,2361,0.1567,0.0216,0.0165,0.0247,0.8513,0.8502,114.8471,4.5235,3.851,94.7823,93.905,Luck adjusted,-2.6109,-2.7772,Luck adjusted,-2.2198,-2.3612,Luck adjusted,4431767.0,2.0,6-6,Jr,G,"Burlington, KS",5.2935,5.1544,-3.4349,Adjusted from Def 3P%,-3.8579,4.5065,-2.9203,-3.28,Adjusted from Def 3P%,High,Men
