key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Altan Camoglu,(INTL) TURK. BSL,MANI,1.8000000000000003,,,,120.0,0.5,0.143,,,,,,,,0.43749999999999994,,,,,,,,,,,,78,,,,10,120.0,12.0,3.4,0.5,0.7,1.2,0.8,,4.0,0.2,0.0,15.6,106.2,0.375,0.456,https://basketball.realgm.com/player/Altan-Camoglu/Summary/239129,1.1,1.0,1.2,0.833,0.9000000000000001,1.8000000000000003,0.2,1.4,,,,,,,123.6,,,,,,4.7,7.0,12.0,5.1,0.0,0.9,,,,,3.2,0.344,2026,78,,,,,,,,,,
Berk Akin,(INTL) TURK. BSL,BURS,2.2,,,,268.8,0.36363636363636354,0.276,,,,,,,,0.6507936507936507,,,,,,,,,,,,76,,,,14,268.8,19.2,6.1,0.3,2.1,2.4,1.0,,0.9090909090909091,0.9,0.1,19.9,87.0,0.398,0.443,https://basketball.realgm.com/player/Berk-Akin/Summary/197842,1.9,1.1,1.3,0.833,0.7999999999999998,2.2,1.1,4.1,,,,,,,115.6,,,,,,2.0,15.1,8.8,13.5,0.9,2.6,,,,,6.3,0.307,2026,76,,,,,,,,,,185.0
Bugra Cal,(INTL) TURK. BSL,MANI,0.9,,,,126.1,0.5555555555555556,0.0,,,,,,,,0.5,,,,,,,,,,,,80,,,,13,126.1,9.7,1.5,0.3,1.7,2.0,0.5,,0.625,0.4,0.3,14.3,65.5,0.25,0.345,https://basketball.realgm.com/player/Bugra-Cal/Summary/201303,0.5,0.5,0.6,0.875,0.5,0.9,0.0,0.9,,,,,,,109.1,,,,,,3.6,20.5,9.1,28.6,3.5,2.2,,,,,1.8,0.25,2026,80,,,,,,,,,,
Ozgur Cengiz,(INTL) TURK. BSL,TOF,1.5000000000000002,,,,169.4,0.46666666666666656,0.292,,,,,,,,0.53125,,,,,,,,,,,,73,,,,14,169.4,12.1,4.0,0.3,0.9,1.1,1.6,,4.0,0.4,0.1,16.7,119.1,0.456,0.525,https://basketball.realgm.com/player/Ozgur-Cengiz/Summary/183744,1.2,1.1,1.4,0.789,0.7,1.5000000000000002,0.5,1.7,,,,,,,112.5,,,,,,3.1,8.3,20.2,8.6,0.6,1.9,,,,,3.2,0.378,2026,73,,,,,,,,,,
Bassala Bagayoko,(INTL) ABA,BBB,2.2,,,,133.1,0.5909090909090908,0.0,,,,,,,,0.0,,,,,,,,,,,,81,,,,11,133.1,12.1,3.6,1.2,1.6,2.8,0.2,,0.28571428571428575,0.5,0.3,13.5,113.9,0.583,0.627,https://basketball.realgm.com/player/Bassala-Bagayoko/Summary/176312,1.3,1.1,1.6,0.667,1.3,2.2,0.0,0.0,,,,,,,109.0,,,,,,11.6,17.7,2.6,20.0,2.5,1.9,,,,,2.2,0.583,2026,81,,,,,,,,,,210.0
Rafael Villar,(INTL) ABA,BASK,1.2999999999999998,,,,145.6,0.5384615384615385,0.2,,,,,,,,0.23529411764705885,,,,,,,,,,,,76,,,,13,145.6,11.2,2.0,0.2,0.8,0.9,1.2,,2.4,0.5,0.0,9.3,110.5,0.523,0.528,https://basketball.realgm.com/player/Rafael-Villar/Summary/147202,0.8,0.2,0.5,0.5,0.7000000000000001,1.2999999999999998,0.1,0.4,,,,,,,117.7,,,,,,1.8,8.2,15.8,19.6,0.0,2.5,,,,,1.7,0.5,2026,76,,,,,,,,,,
Sergio De Larrea,(INTL) ABA,VAL,2.7,,,,169.4,0.4444444444444445,0.4,,,,,,,,0.45999999999999996,,,,,,,,,,,,77,,,,11,169.4,15.4,7.1,1.2,1.2,2.4,3.4,,1.5454545454545452,0.2,0.0,23.1,111.8,0.509,0.576,https://basketball.realgm.com/player/Sergio-De-Larrea/Summary/175825,2.1,2.0,2.6,0.759,1.2000000000000002,2.7,0.9,2.3,,,,,,,111.5,,,,,,9.0,8.5,32.2,26.2,0.0,0.6,,,,,5.0,0.418,2026,77,,,,,,,,,,175.0
Aaron Towo-Nansi,(INTL) FRENCH JEEP,CHO,1.5,,,,134.4,0.26666666666666666,0.276,,,,,,,,0.5833333333333334,,,,,,,,,,,,69,,,,14,134.4,9.6,3.6,0.4,0.1,0.5,1.0,,2.0,0.4,0.0,21.4,99.3,0.36,0.437,https://basketball.realgm.com/player/Aaron-Towo-Nansi/Summary/208045,1.0,1.1,1.4,0.789,0.4,1.5,0.6,2.1,,,,,,,111.4,,,,,,4.3,1.8,17.4,10.7,0.0,1.9,,,,,3.6,0.28,2026,69,,,,,,,,,,
Adam Atamna,(INTL) FRENCH JEEP,LYV,2.3000000000000003,,,,221.0,0.652173913043478,0.386,,,,,,,,0.5964912280701754,,,,,,,,,,,,74,,,,13,221.0,17.0,8.8,0.3,1.4,1.7,1.9,,1.3571428571428572,0.6,0.2,22.1,121.2,0.601,0.663,https://basketball.realgm.com/player/Adam-Atamna/Summary/207969,2.8,2.0,2.2,0.897,1.4999999999999998,2.3000000000000003,1.3,3.4,,,,,,,107.8,,,,,,2.5,9.9,19.5,17.2,1.4,2.0,,,,,5.7,0.486,2026,74,,,,,,,,,,
Christopher Ebunangombe,(INTL) FRENCH JEEP,PORT,2.3000000000000003,,,,196.0,0.4782608695652173,0.2,,,,,,,,0.37837837837837834,,,,,,,,,,,,76,,,,14,196.0,14.0,3.9,0.4,1.0,1.4,1.4,,1.0,0.5,0.1,18.8,83.4,0.423,0.459,https://basketball.realgm.com/player/Christopher-Ebunangombe/Summary/192010,1.4,0.8,1.3,0.611,1.0999999999999999,2.3000000000000003,0.3,1.4,,,,,,,121.0,,,,,,3.7,8.4,18.1,25.0,1.0,1.9,,,,,3.7,0.385,2026,76,,,,,,,,,,
Hugo Yimga Moukouri,(INTL) FRENCH JEEP,N92,2.6999999999999997,,,,236.59999999999997,0.5925925925925927,0.391,,,,,,,,0.372093023255814,,,,,,,,,,,,80,,,,14,236.59999999999997,16.9,6.6,0.9,2.6,3.6,0.2,,0.25,0.1,0.1,15.7,122.7,0.592,0.644,https://basketball.realgm.com/player/Hugo-Yimga-Moukouri/Summary/208144,2.2,1.5,1.9,0.808,1.6,2.6999999999999997,0.6,1.6,,,,,,,111.1,,,,,,6.7,21.0,1.9,13.3,1.1,0.5,,,,,4.3,0.517,2026,80,,,,,,,,,,219.0
Louka Letailleur,(INTL) FRENCH JEEP,GRV,1.6,,,,175.5,0.5624999999999999,0.2,,,,,,,,0.48387096774193544,,,,,,,,,,,,78,,,,13,175.5,13.5,3.1,0.8,1.0,1.8,0.8,,1.6,0.5,0.0,14.0,99.1,0.45,0.46,https://basketball.realgm.com/player/Louka-Letailleur/Summary/208019,1.2,0.3,0.6,0.5,0.8999999999999999,1.6,0.3,1.5,,,,,,,123.4,,,,,,7.8,10.1,9.9,13.9,0.0,1.9,,,,,3.1,0.4,2026,78,,,,,,,,,,
Lucas Fischer,(INTL) FRENCH JEEP,PORT,2.5,,,,198.9,0.52,0.308,,,,,,,,0.2857142857142857,,,,,,,,,,,,76,,,,13,198.9,15.3,4.6,0.3,1.2,1.5,0.9,,1.0,0.7,0.2,15.8,97.0,0.511,0.532,https://basketball.realgm.com/player/Lucas-Fischer/Summary/185952,1.6,1.1,2.0,0.538,1.3,2.5,0.3,1.0,,,,,,,119.5,,,,,,2.4,9.8,10.8,17.5,1.5,2.4,,,,,3.5,0.467,2026,76,,,,,,,,,,
Marc Fodzo Dada,(INTL) FRENCH JEEP,NAN,2.6999999999999997,,,,180.6,0.5925925925925926,0.2,,,,,,,,0.34146341463414637,,,,,,,,,,,,70,,,,14,180.6,12.9,4.9,0.3,0.9,1.2,1.6,,1.4545454545454546,0.6,0.1,20.7,98.2,0.5,0.51,https://basketball.realgm.com/player/Marc-Fodzo-Dada/Summary/221366,1.9,0.8,1.6,0.5,1.5999999999999999,2.6999999999999997,0.3,1.4,,,,,,,115.3,,,,,,2.7,8.7,21.1,18.1,0.6,2.6,,,,,4.1,0.466,2026,70,,,,,,,,,,
Mohammad Amini,(INTL) FRENCH JEEP,NAN,3.5,,,,308.09999999999997,0.6571428571428571,0.273,,,,,,,,0.3269230769230769,,,,,,,,,,,,79,,,,13,308.09999999999997,23.7,7.5,0.8,3.4,4.2,1.9,,1.5833333333333333,0.5,0.2,14.3,114.2,0.582,0.598,https://basketball.realgm.com/player/Mohammad-Amini/Summary/199802,2.8,1.5,2.6,0.588,2.3,3.5,0.5,1.7,,,,,,,113.5,,,,,,4.0,16.8,13.0,16.3,0.6,1.2,,,,,5.2,0.537,2026,79,,,,,,,,,,176.0
Mouhamed Faye,(INTL) FRENCH JEEP,PAR,2.8,,,,167.2,0.8571428571428572,0.0,,,,,,,,0.0,,,,,,,,,,,,82,,,,11,167.2,15.2,6.2,2.1,2.9,5.0,0.4,,0.36363636363636365,0.5,0.6,13.0,135.0,0.839,0.818,https://basketball.realgm.com/player/Mouhamed-Faye/Summary/202184,2.4,1.5,2.2,0.667,2.4,2.8,0.0,0.0,,,,,,,105.2,,,,,,17.0,22.2,3.5,22.4,4.9,1.8,,,,,2.8,0.839,2026,82,,,,,,,,,,220.0
