key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Alen Omic,(INTL) ABA,ZLA,7.3,,,,592.8,0.520547945,0,,,,,,,,0,,,,,,,,,,,,86,,,,26,592.8,22.8,9.5,2,4.1,6.2,0.4,,0.210526316,0.5,0.7,23.2,101.2,0.548,0.565,https://basketball.realgm.com/player/Alen-Omic/Summary/25963,3.9,1.7,2.7,0.638,3.8,7.3,0.1,0,,,,,,,113.4,,,,,,11.4,25.6,4.1,18.6,3.2,1.4,,,,,7.3,0.54,2012,86,,,,,,,,,,225
Andreja Milutinovic,(INTL) ABA,ZVE,4.4,,,,657.8,0.522727273,0.351,,,,,,,,0.388888889,,,,,,,,,,,,79,,,,26,657.8,25.3,9.5,0.9,2.7,3.6,1.2,,1.2,1.2,0,18.1,115.2,0.527,0.561,https://basketball.realgm.com/player/Andreja-Milutinovic/Summary/27026,3.3,1.9,2.9,0.667,2.3,4.4,1,2.8,,,,,,,111.1,,,,,,4.5,14.3,8.5,10.5,0.2,2.5,,,,,7.2,0.457,2012,79,,,,,,,,,,205
Bojan Dubljevic,(INTL) ABA,BUD,5,,,,512.2,0.56,0.317,,,,,,,,0.315068493,,,,,,,,,,,,81,,,,26,512.2,19.7,9.5,2.1,2.8,4.8,0.3,,0.25,0.7,0.3,25,114.6,0.526,0.559,https://basketball.realgm.com/player/Bojan-Dubljevic/Summary/25931,3.5,1.8,2.6,0.676,2.8,5,0.7,2.3,,,,,,,105.3,,,,,,14,20.8,3.8,12.3,1.8,2.3,,,,29,7.3,0.476,2012,81,,,,,,,,,,242
Bojan Subotic,(INTL) ABA,ZVE,4.2,,,,477.5,0.547619048,0.429,,,,,,,,0.20754717,,,,,,,,,,,,79,,,,25,477.5,19.1,8,1.5,2.4,3.9,0.6,,0.666666667,0.8,0.2,18.7,122,0.579,0.616,https://basketball.realgm.com/player/Bojan-Subotic/Summary/26112,2.8,1.8,2.6,0.692,2.3,4.2,0.5,1.1,,,,,,,110.5,,,,,,10.3,16.5,6,12.5,1.2,2.2,,,,,5.3,0.534,2012,79,,,,,,,,,,225
Boris Barac,(INTL) ABA,SIR,2.4,,,,400.4,0.5,0.333,,,,,,,,0.428571429,,,,,,,,,,,,81,,,,26,400.4,15.4,4.8,0.9,2,2.9,0.5,,0.555555556,0.5,0,18.3,102.6,0.495,0.535,https://basketball.realgm.com/player/Boris-Barac/Summary/24758,1.8,0.7,0.8,0.9,1.2,2.4,0.6,1.8,,,,,,,107.1,,,,,,7.5,17.2,5.5,16.9,0.3,2.1,,,,,4.2,0.422,2012,81,,,,,,,,,,230
Darko Planinic,(INTL) ABA,SIR,5.7,,,,564.2,0.666666667,0,,,,,,,,0,,,,,,,,,,,,83,,,,26,564.2,21.7,9.2,1.7,2.8,4.5,0.5,,0.333333333,0.9,0.2,19.8,117.1,0.676,0.678,https://basketball.realgm.com/player/Darko-Planinic/Summary/25028,3.8,1.5,2.5,0.606,3.8,5.7,0,0,,,,,,,105.7,,,,,,10,17.4,4.5,18.1,1.1,2.4,,,,,5.7,0.676,2012,83,,,,,,,,,,255
Dino Muric,(INTL) ABA,OLI,3.1,,,,432.4,0.612903226,0.111,,,,,,,,0.205128205,,,,,,,,,,,,78,,,,23,432.4,18.8,4.6,1,1.9,2.9,0.9,,0.818181818,0.7,0.1,15.4,97,0.511,0.509,https://basketball.realgm.com/player/Dino-Muric/Summary/27145,2,0.6,1.4,0.438,1.9,3.1,0.1,0.8,,,,,,,108.2,,,,,,6.8,14.8,8.8,20,0.8,2.3,,,,,3.9,0.5,2012,78,,,,,,,,,,190
Edo Muric,(INTL) ABA,KRK,2.4,,,,447.2,0.375,0.19,,,,,,,,0.5,,,,,,,,,,,,80,,,,26,447.2,17.2,4.1,1,2,3,0.5,,0.625,0.3,0.2,17.9,86.8,0.339,0.38,https://basketball.realgm.com/player/Edo-Muric/Summary/25960,1.4,0.9,1.5,0.605,0.9,2.4,0.5,2.4,,,,,,,112.3,,,,,,8,15.2,4.7,12.4,0.9,1.2,,,,,4.8,0.29,2012,80,,,,,,,,,,190
Ivan Ramljak,(INTL) ABA,SIR,4.3,,,,569.4,0.581395349,0.219,,,,,,,,0.367647059,,,,,,,,,,,,80,,,,26,569.4,21.9,7.8,1.3,3.8,5.1,1.5,,1.25,1.5,0.5,20.6,107.3,0.477,0.519,https://basketball.realgm.com/player/Ivan-Ramljak/Summary/26972,3,1.3,1.8,0.723,2.5,4.3,0.5,2.5,,,,,,,99.6,,,,,,7.8,22.8,13.2,13.2,2.4,4.2,,,,,6.8,0.438,2012,80,,,,,,,,,,195
Jaka Blazic,(INTL) ABA,OLI,4.6,,,,517.5,0.52173913,0.298,,,,,,,,0.292307692,,,,,,,,,,,,77,,,,25,517.5,20.7,8.8,1.1,2,3.1,1,,0.833333333,0.8,0.1,22.8,109.2,0.5,0.549,https://basketball.realgm.com/player/Jaka-Blazic/Summary/26124,3,2.3,3.4,0.671,2.4,4.6,0.6,1.9,,,,,,,109.4,,,,,,7.3,13.6,10,13.5,0.4,2.2,,,,,6.5,0.457,2012,77,,,,,,,,,,212
