name,name_lower,status,pick,college
"Johnson, Cameron","johnson, cameron",drafted,11.0,North Carolina
"Williamson, Zion","williamson, zion",drafted,1.0,Duke
"Clarke, Brandon","clarke, brandon",drafted,21.0,Gonzaga
"Hunter, De'Andre","hunter, de'andre",drafted,4.0,Virginia
"Winston, Cassius","winston, cassius",drafted,53.0,Michigan St.
"Barrett, RJ","barrett, rj",drafted,3.0,Duke
"Williams, Grant","williams, grant",drafted,22.0,Tennessee
"Guy, Kyle","guy, kyle",drafted,55.0,Virginia
"Tillman, Xavier","tillman, xavier",drafted,35.0,Michigan St.
"Hachimura, Rui","hachimura, rui",drafted,9.0,Gonzaga
"Washington, PJ","washington, pj",drafted,12.0,Kentucky
"Weatherspoon, Quinndary","weatherspoon, quinndary",drafted,49.0,Mississippi St.
"Edwards, Carsen","edwards, carsen",drafted,33.0,Purdue
"Jerome, Ty","jerome, ty",drafted,24.0,Virginia
"Culver, Jarrett","culver, jarrett",drafted,6.0,Texas Tech
"Herro, Tyler","herro, tyler",drafted,13.0,Kentucky
"Okeke, Chuma","okeke, chuma",drafted,16.0,Auburn
"Haliburton, Tyrese","haliburton, tyrese",drafted,12.0,Iowa St.
"Fernando, Bruno","fernando, bruno",drafted,34.0,Maryland
"Jones, Tre","jones, tre",drafted,41.0,Duke
"Waters, Tremont","waters, tremont",drafted,51.0,LSU
"White, Coby","white, coby",drafted,7.0,North Carolina
"Merrill, Sam","merrill, sam",drafted,60.0,Utah St.
"Mann, Terance","mann, terance",drafted,48.0,Florida St.
"Gafford, Daniel","gafford, daniel",drafted,38.0,Arkansas
"Kabengele, Mfiondu","kabengele, mfiondu",drafted,27.0,Florida St.
"Brazdeikis, Ignas","brazdeikis, ignas",drafted,47.0,Michigan
"Alexander-Walker, Nickeil","alexander-walker, nickeil",drafted,17.0,Virginia Tech
"Shayok, Marial","shayok, marial",drafted,54.0,Iowa St.
"Schofield, Admiral","schofield, admiral",drafted,42.0,Tennessee
"Johnson, Keldon","johnson, keldon",drafted,29.0,Kentucky
"Nwora, Jordan","nwora, jordan",drafted,45.0,Louisville
"Nowell, Jaylen","nowell, jaylen",drafted,43.0,Washington
"Bone, Jordan","bone, jordan",drafted,57.0,Tennessee
"Garza, Luka","garza, luka",drafted,52.0,Iowa
"Hayes, Jaxson","hayes, jaxson",drafted,8.0,Texas
"Bane, Desmond","bane, desmond",drafted,30.0,TCU
"Livers, Isaiah","livers, isaiah",drafted,42.0,Michigan
"Poole, Jordan","poole, jordan",drafted,28.0,Michigan
"Claxton, Nicolas","claxton, nicolas",drafted,31.0,Georgia
"Toppin, Obi","toppin, obi",drafted,8.0,Dayton
"Langford, Romeo","langford, romeo",drafted,14.0,Indiana
"Joe, Isaiah","joe, isaiah",drafted,49.0,Arkansas
"Mays, Skylar","mays, skylar",drafted,50.0,LSU
"Hughes, Elijah","hughes, elijah",drafted,39.0,Syracuse
"Smith, Jalen","smith, jalen",drafted,10.0,Maryland
"Johnson, Keyontae","johnson, keyontae",drafted,50.0,Florida
"Bey, Tyler","bey, tyler",drafted,36.0,Colorado
"Butler, Jared","butler, jared",drafted,40.0,Baylor
"Paschall, Eric","paschall, eric",drafted,41.0,Villanova
"Kispert, Corey","kispert, corey",drafted,15.0,Gonzaga
"Wieskamp, Joe","wieskamp, joe",drafted,41.0,Iowa
"Nembhard, Andrew","nembhard, andrew",drafted,31.0,Florida
"Queta, Neemias","queta, neemias",drafted,39.0,Utah St.
"Lewis Jr. , Kira","lewis jr. , kira",drafted,13.0,Alabama
"Perry, Reggie","perry, reggie",drafted,57.0,Mississippi St.
"Gray, RaiQuan","gray, raiquan",drafted,59.0,Florida St.
"Wiggins, Aaron","wiggins, aaron",drafted,55.0,Maryland
"Pritchard, Payton","pritchard, payton",drafted,26.0,Oregon
"Thybulle, Matisse","thybulle, matisse",drafted,20.0,Washington
"Bey, Saddiq","bey, saddiq",drafted,19.0,Villanova
"Quickley, Immanuel","quickley, immanuel",drafted,25.0,Kentucky
"Richards, Nick","richards, nick",drafted,42.0,Kentucky
"Horton-Tucker, Talen","horton-tucker, talen",drafted,46.0,Iowa St.
"Reddish, Cam","reddish, cam",drafted,10.0,Duke
"Woodard II, Robert","woodard ii, robert",drafted,40.0,Mississippi St.
"Little, Nassir","little, nassir",drafted,25.0,North Carolina
"McDaniels, Jalen","mcdaniels, jalen",drafted,52.0,San Diego St.
"Reed, Paul","reed, paul",drafted,58.0,DePaul
"Okpala, KZ","okpala, kz",drafted,32.0,Stanford
"Porter Jr., Kevin","porter jr., kevin",drafted,30.0,USC
"Agbaji, Ochai","agbaji, ochai",drafted,14.0,Kansas
"Dosunmu, Ayo","dosunmu, ayo",drafted,38.0,Illinois
"Jones, Herbert","jones, herbert",drafted,35.0,Alabama
"Roby, Isaiah","roby, isaiah",drafted,45.0,Nebraska
"Zegarowski, Marcus","zegarowski, marcus",drafted,49.0,Creighton
"Williams, Vince","williams, vince",drafted,47.0,VCU
"Mamukelashvili, Sandro","mamukelashvili, sandro",drafted,54.0,Seton Hall
"Miller, Jordan","miller, jordan",drafted,48.0,George Mason
"Oturu, Daniel","oturu, daniel",drafted,33.0,Minnesota
"Hands, Jaylen","hands, jaylen",drafted,56.0,UCLA
"Sims, Jericho","sims, jericho",drafted,58.0,Texas
"Lee, Saben","lee, saben",drafted,38.0,Vanderbilt
"Nesmith, Aaron","nesmith, aaron",drafted,14.0,Vanderbilt
"Elleby, CJ","elleby, cj",drafted,46.0,Washington St.
"Grimes, Quentin","grimes, quentin",drafted,25.0,Kansas
"Martin, Tyrese","martin, tyrese",drafted,51.0,Rhode Island
"Azubuike, Udoka","azubuike, udoka",drafted,27.0,Kansas
"Carey, Vernon","carey, vernon",drafted,32.0,Duke
"Vassell, Devin","vassell, devin",drafted,11.0,Florida St.
"Flynn, Malachi","flynn, malachi",drafted,29.0,San Diego St.
"McBride, Miles","mcbride, miles",drafted,36.0,West Virginia
"Nnaji, Zeke","nnaji, zeke",drafted,22.0,Arizona
"Stewart, Isaiah","stewart, isaiah",drafted,16.0,Washington
"Okongwu, Onyeka","okongwu, onyeka",drafted,6.0,USC
"Mannion, Nico","mannion, nico",drafted,48.0,Arizona
"Okoro, Isaac","okoro, isaac",drafted,5.0,Auburn
"Petrusev, Filip","petrusev, filip",drafted,50.0,Gonzaga
"Anthony, Cole","anthony, cole",drafted,15.0,North Carolina
"Williams, Patrick","williams, patrick",drafted,4.0,Florida St.
"Mitchell, Davion","mitchell, davion",drafted,9.0,Baylor
"Green, Josh","green, josh",drafted,18.0,Arizona
"Jackson-Davis, Trayce","jackson-davis, trayce",drafted,57.0,Indiana
"Hyland, Nah'Shon","hyland, nah'shon",drafted,26.0,VCU
"Ramsey, Jahmi'us","ramsey, jahmi'us",drafted,43.0,Texas Tech
"Achiuwa, Precious","achiuwa, precious",drafted,20.0,Memphis
"Robinson-Earl, Jeremiah","robinson-earl, jeremiah",drafted,32.0,Villanova
"Braun, Christian","braun, christian",drafted,21.0,Kansas
"Duarte, Chris","duarte, chris",drafted,13.0,Oregon
"Terry, Tyrell","terry, tyrell",drafted,31.0,Stanford
"Stanley, Cassius","stanley, cassius",drafted,54.0,Duke
"Bouknight, James","bouknight, james",drafted,11.0,Connecticut
"Moore, Wendell","moore, wendell",drafted,26.0,Duke
"Liddell, E.J.","liddell, e.j.",drafted,41.0,Ohio St.
"Sasser, Marcus","sasser, marcus",drafted,25.0,Houston
"Wagner, Franz","wagner, franz",drafted,8.0,Michigan
"Edwards, Anthony","edwards, anthony",drafted,1.0,Georgia
"Maxey, Tyrese","maxey, tyrese",drafted,21.0,Kentucky
"Jaquez Jr., Jaime","jaquez jr., jaime",drafted,18.0,UCLA
"Johnson, David","johnson, david",drafted,47.0,Louisville
"McDaniels, Jaden","mcdaniels, jaden",drafted,28.0,Washington
"Lewis, Scottie","lewis, scottie",drafted,56.0,Florida
"Tyson, Hunter","tyson, hunter",drafted,37.0,Clemson
"Jones, Kai","jones, kai",drafted,19.0,Texas
"Lundy, Seth","lundy, seth",drafted,46.0,Penn St.
"Brown, Kobe","brown, kobe",drafted,30.0,Missouri
"Wong, Isaiah","wong, isaiah",drafted,55.0,Miami FL
"Mobley, Isaiah","mobley, isaiah",drafted,49.0,USC
"Camara, Toumani","camara, toumani",drafted,52.0,Georgia
"Mann, Tre","mann, tre",drafted,18.0,Florida
"Mobley, Evan","mobley, evan",drafted,3.0,USC
"Murphy III, Trey","murphy iii, trey",drafted,17.0,Virginia
"Jackson, Isaiah","jackson, isaiah",drafted,22.0,Kentucky
"Cooper, Sharife","cooper, sharife",drafted,48.0,Auburn
"Moody, Moses","moody, moses",drafted,14.0,Arkansas
"Suggs, Jalen","suggs, jalen",drafted,5.0,Gonzaga
"Walker, Jabari","walker, jabari",drafted,57.0,Colorado
"Barnes, Scottie","barnes, scottie",drafted,4.0,Florida St.
"Thomas, Cameron","thomas, cameron",drafted,27.0,LSU
"Springer, Jaden","springer, jaden",drafted,28.0,Tennessee
"Mathurin, Bennedict","mathurin, bennedict",drafted,6.0,Arizona
"Davis, Jonathan","davis, jonathan",drafted,10.0,Wisconsin
"Wilson, Jalen","wilson, jalen",drafted,51.0,Kansas
"Cunningham, Cade","cunningham, cade",drafted,1.0,Oklahoma St.
"Koloko, Christian","koloko, christian",drafted,33.0,Arizona
"Murray, Keegan","murray, keegan",drafted,4.0,Iowa
"Sharpe, Day'Ron","sharpe, day'ron",drafted,29.0,North Carolina
"Williams, Mark","williams, mark",drafted,15.0,Duke
"Eason, Tari","eason, tari",drafted,17.0,Cincinnati
"Brown, Greg","brown, greg",drafted,43.0,Texas
"Williams, Jaylin","williams, jaylin",drafted,34.0,Arkansas
"Primo, Joshua","primo, joshua",drafted,12.0,Alabama
"Moore Jr., Wendell","moore jr., wendell",drafted,26.0,Duke
"Terry, Dalen","terry, dalen",drafted,18.0,Arizona
"Jones, Colby","jones, colby",drafted,34.0,Xavier
"Williams, Ziaire","williams, ziaire",drafted,10.0,Stanford
"Ivey, Jaden","ivey, jaden",drafted,5.0,Purdue
"Johnson, Keon","johnson, keon",drafted,21.0,Tennessee
"Boston Jr., Brandon","boston jr., brandon",drafted,51.0,Kentucky
"Christopher, Josh","christopher, josh",drafted,24.0,Arizona St.
"Johnson, Jalen","johnson, jalen",drafted,20.0,Duke
"Banton, Dalano","banton, dalano",drafted,46.0,Nebraska
"Thor, JT","thor, jt",drafted,37.0,Auburn
"Jackson, Andre","jackson, andre",drafted,36.0,Connecticut
"Bassey, Charles","bassey, charles",drafted,53.0,Western Kentucky
"Roddy, David","roddy, david",drafted,23.0,Colorado St.
"Preston, Jason","preston, jason",drafted,33.0,Ohio
"Edwards, Kessler","edwards, kessler",drafted,44.0,Pepperdine
"LaRavia, Jake","laravia, jake",drafted,19.0,Indiana St.
