_id,key,conf,team,year,style,posFreqs,doc_count,posClass,code,posConfidences,adj_rtg_margin_rank,def_adj_rtg_rank,off_adj_rtg_rank,adj_prod_margin_rank,def_adj_prod_rank,off_adj_prod_rank,adj_rapm_margin_rank,def_adj_rapm_rank,off_adj_rapm_rank,adj_rapm_prod_margin_rank,def_adj_rapm_prod_rank,off_adj_rapm_prod_rank,shotInfo.total_freq,shotInfo.info,total_off_2p_attempts.value,total_off_3p_attempts.value,total_off_2prim_attempts.value,total_off_2pmid_attempts.value,off_adj_opp.value,off_poss.value,def_adj_opp.value,duration_mins.value,off_2p.value,off_2p_ast.value,off_3p.value,off_3p_ast.value,off_2prim.value,off_2prim_ast.value,off_2pmid.value,off_2pmid_ast.value,off_ft.value,off_ftr.value,off_2primr.value,off_2pmidr.value,off_3pr.value,off_scramble_2p.value,off_scramble_2p_ast.value,off_scramble_3p.value,off_scramble_3p_ast.value,off_scramble_2prim.value,off_scramble_2prim_ast.value,off_scramble_2pmid.value,off_scramble_2pmid_ast.value,off_scramble_ft.value,off_scramble_ftr.value,off_scramble_2primr.value,off_scramble_2pmidr.value,off_scramble_3pr.value,off_scramble_assist.value,off_trans_2p.value,off_trans_2p_ast.value,off_trans_3p.value,off_trans_3p_ast.value,off_trans_2prim.value,off_trans_2prim_ast.value,off_trans_2pmid.value,off_trans_2pmid_ast.value,off_trans_ft.value,off_trans_ftr.value,off_trans_2primr.value,off_trans_2pmidr.value,off_trans_3pr.value,off_trans_assist.value,off_ast_rim.value,off_ast_mid.value,off_ast_3p.value,off_efg.value,off_scramble_efg.value,off_trans_efg.value,off_team_poss.value,off_assist.value,off_to.value,off_orb.value,off_usage.value,def_team_poss.value,def_orb.value,def_ftr.value,def_to.value,def_2prim.value,off_team_poss_pct.value,def_team_poss_pct.value,off_rtg.value,off_adj_rtg.value,off_adj_prod.value,def_rtg.value,def_rtg.old_value,def_rtg.override,def_rtg.extraInfo,def_adj_rtg.value,def_adj_rtg.old_value,def_adj_rtg.override,def_adj_rtg.extraInfo,def_adj_prod.value,def_adj_prod.old_value,def_adj_prod.override,def_adj_prod.extraInfo,roster.ncaa_id,roster.number,roster.height,roster.year_class,roster.pos,roster.origin,off_adj_rapm.value,off_adj_rapm.old_value,def_adj_rapm.value,def_adj_rapm.override,def_adj_rapm.old_value,def_adj_rapm.extraInfo,off_adj_rapm_prod.value,def_adj_rapm_prod.value,def_adj_rapm_prod.old_value,def_adj_rapm_prod.override,def_adj_rapm_prod.extraInfo,tier,gender
4600663_Men_2022_all,"Edey, Zach",Big Ten Conference,Purdue,2022,"[[5, 1.066, 0.0223, 0.0086], [7, 1.0691, 0.0046, 0.0018], [8, 1.302, 0.3228, 0.1242], [9, 0.9231, 0.2819, 0.1085], [10, 0.9522, 0.1104, 0.0425], [12, 1.0476, 0.0681, 0.0262], [13, 1.2929, 0.1491, 0.0574], [14, 1.184, 0.0407, 0.0157]]","[0, 0, 0, 0, 1]",534,C,ZaEdey,"[0, 0, 0, 0.0009, 0.9991]",1,123,1,1,55,1,1,37,1,1,21,1,467.0,"[[0, 243, 346], [1, 128, 120], [2, 85, 88], [3, 1, 0], [4, 10, 12]]",467,0,372,95,110.9295,579.5872,99.8185,1040.0683,0.606,0,0.0,0.0,0.6747,0.6853,0.3368,0.75,0.7359,0.4946,0.7966,0.2034,0.0,0.6136,0,0.0,0.0,0.6438,0.1277,0.4667,0.2857,0.8049,0.4659,0.8295,0.1705,0.0,0.0556,0.5385,0,0.0,0.0,0.5833,1.0,0.0,0.0,0.6333,2.3077,0.9231,0.0769,0.0,0.1429,0.3725,0.1176,0.5098,0.606,0.6136,0.5385,1666,0.1281,0.1294,0.2053,0.3247,1640,0.2633,0.0235,0.0049,0.0708,0.7709,0.7572,126.8932,8.9573,6.9055,98.2231,89.9372,Luck adjusted,PREPROCESSING_WARNING,-2.4008,-3.9665,Luck adjusted,PREPROCESSING_WARNING,-1.8178,-3.0032,Luck adjusted,PREPROCESSING_WARNING,4600663,15,7-4,Jr,C,"Toronto, Canada",8.5004,8.5004,-3.3051,Adjusted from Def 3P%,-4.094,PREPROCESSING_WARNING,6.5789,-2.5025,-3.0998,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4433287_Men_2022_all,"Miller, Brandon",Southeastern Conference,Alabama,2022,"[[0, 0.8689, 0.102, 0.0304], [1, 0.9191, 0.0278, 0.0083], [2, 1.0819, 0.1053, 0.0314], [3, 0.983, 0.0472, 0.0141], [4, 0.5665, 0.0153, 0.0046], [5, 0.9781, 0.0097, 0.0029], [6, 1.4883, 0.009, 0.0027], [7, 1.1195, 0.0257, 0.0077], [8, 1.5623, 0.0172, 0.0051], [9, 0.8078, 0.1721, 0.0513], [10, 0.8954, 0.0531, 0.0158], [11, 1.0962, 0.1047, 0.0312], [12, 1.2298, 0.0179, 0.0053], [13, 1.2819, 0.0885, 0.0264], [14, 1.285, 0.2046, 0.061]]","[0, 0.0009, 0.6431, 0.3519, 0.0041]",635,S-PF,BrMiller,"[0.0011, 0.0529, 0.3745, 0.5712, 0.0002]",4,19,19,4,5,17,2,3,10,2,2,8,514.0,"[[0, 130, 170], [1, 48, 30], [2, 32, 14], [3, 11, 12], [4, 93, 105], [5, 94, 114], [6, 66, 75], [7, 13, 12], [8, 5, 2], [9, 16, 8], [10, 6, 6]]",240,276,158,82,110.8143,554.2571,98.6591,1207.1617,0.4833,0,0.3841,0.8302,0.5886,0.2366,0.2805,0.0435,0.8588,0.3295,0.3062,0.1589,0.5349,0.5588,0,0.5,1.0,0.5455,0.0,1.0,0.0,0.7857,0.25,0.5893,0.0179,0.3929,0.1333,0.6667,0,0.3692,0.75,0.7674,0.5455,0.125,0.0,0.9,0.431,0.3707,0.069,0.5603,0.5345,0.5,0.0,0.5,0.5329,0.6339,0.6034,2194,0.1242,0.1461,0.0676,0.255,2165,0.1732,0.0281,0.0152,0.024,0.806,0.7939,118.0677,5.5845,4.5012,92.3218,88.7832,Luck adjusted,PREPROCESSING_WARNING,-3.4978,-4.1671,Luck adjusted,PREPROCESSING_WARNING,-2.7769,-3.3083,Luck adjusted,PREPROCESSING_WARNING,4433287,24,6-9,Fr,F,"Antioch, TN",6.1597,6.1597,-4.9567,Adjusted from Def 3P%,-5.5329,PREPROCESSING_WARNING,5.017,-3.9352,-4.3926,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4397554_Men_2022_all,"Nowell, Markquis",Big 12 Conference,Kansas St.,2022,"[[0, 0.8785, 0.1912, 0.0808], [1, 1.0287, 0.1224, 0.0517], [2, 1.0189, 0.0934, 0.0395], [3, 0.9421, 0.0901, 0.0381], [4, 0.6603, 0.069, 0.0291], [5, 1.1222, 0.118, 0.0499], [6, 1.2957, 0.0304, 0.0129], [7, 1.1057, 0.1237, 0.0523], [9, 0.6678, 0.0071, 0.003], [13, 1.2179, 0.0414, 0.0175], [14, 1.2166, 0.1134, 0.0479]]","[1, 0, 0, 0, 0]",878,PG,MaNowell,"[0.9932, 0.0068, 0, 0, 0]",21,121,32,6,18,13,3,25,16,3,5,4,466.0,"[[0, 107, 106], [1, 14, 6], [2, 35, 26], [3, 17, 21], [4, 55, 63], [5, 114, 126], [6, 51, 39], [7, 12, 15], [8, 8, 4], [9, 40, 32], [10, 13, 10]]",218,248,129,89,109.9696,615.9048,98.2379,1327.73,0.422,0,0.3548,0.5682,0.4729,0.2459,0.3483,0.2903,0.8894,0.4464,0.2768,0.191,0.5322,0.4444,0,0.4194,0.8462,0.75,0.6667,0.2,0.0,0.875,0.2,0.1,0.125,0.775,0.4118,0.5476,0,0.375,0.5556,0.5455,0.2222,0.5556,0.4,0.8824,0.7727,0.5,0.1364,0.3636,2.4688,0.6397,0.0808,0.2795,0.4807,0.5875,0.553,2321,0.4225,0.2143,0.0119,0.2813,2314,0.0967,0.0221,0.0398,0.0017,0.9109,0.9078,112.0776,5.1199,4.6638,97.2873,95.8107,Luck adjusted,PREPROCESSING_WARNING,-2.4172,-2.6987,Luck adjusted,PREPROCESSING_WARNING,-2.1944,-2.4499,Luck adjusted,PREPROCESSING_WARNING,4397554,1,5-8,Sr,G,"Harlem, NY",5.7715,5.7715,-3.639,Adjusted from Def 3P%,-4.0052,PREPROCESSING_WARNING,5.2829,-3.3035,-3.6359,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4576060_Men_2022_all,"Kalkbrenner, Ryan",Big East Conference,Creighton,2022,"[[2, 0.4433, 0.0026, 0], [5, 1.0292, 0.0077, 0.0019], [7, 0.888, 0.0009, 0], [8, 1.4454, 0.3413, 0.0836], [9, 1.0052, 0.202, 0.0495], [10, 1.0105, 0.1758, 0.043], [11, 0.9844, 0.0341, 0.0084], [12, 1.2235, 0.0329, 0.0081], [13, 1.3953, 0.0954, 0.0234], [14, 1.4928, 0.1073, 0.0263]]","[0, 0, 0, 0.0011, 0.9989]",407,C,RyKalkbrenne,"[0, 0.0009, 0.0252, 0.0425, 0.9314]",5,201,8,11,129,6,4,105,8,8,75,13,315.0,"[[0, 210, 330], [1, 52, 64], [2, 28, 26], [3, 3, 3], [4, 15, 15], [5, 1, 0], [6, 4, 4], [7, 2, 2]]",296,19,263,33,111.8333,394.8649,99.4447,1096.2267,0.7196,0,0.3158,1.0,0.7681,0.7871,0.3333,0.5455,0.7951,0.3873,0.8349,0.1048,0.0603,0.6579,0,0.0,0.0,0.6571,0.1304,0.6667,0.0,0.8182,0.5789,0.9211,0.0789,0.0,0.2,0.7949,0,0.0,0.0,0.8108,0.9667,0.5,1.0,0.8125,0.4,0.925,0.05,0.025,0.0323,0.0732,0.122,0.8049,0.7048,0.6579,0.775,1874,0.0758,0.1266,0.0967,0.1896,1839,0.1213,0.024,0.0114,0.0594,0.7332,0.7198,132.8754,6.7165,4.9244,101.1473,95.4159,Luck adjusted,PREPROCESSING_WARNING,-2.0028,-3.077,Luck adjusted,PREPROCESSING_WARNING,-1.4415,-2.2147,Luck adjusted,PREPROCESSING_WARNING,4576060,11,7-1,Jr,C,"Florissant, MO",6.216,6.216,-2.6958,Adjusted from Def 3P%,-2.956,PREPROCESSING_WARNING,4.5691,-1.9403,-2.1276,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4432848_Men_2022_all,"Jaquez Jr., Jaime",Pac 12 Conference,UCLA,2022,"[[0, 0.9197, 0.2842, 0.0948], [1, 1.0546, 0.0919, 0.0307], [2, 0.9766, 0.0954, 0.0318], [3, 0.8456, 0.0175, 0.0058], [4, 0.7876, 0.1568, 0.0523], [5, 1.1565, 0.0309, 0.0103], [6, 1.2317, 0.1287, 0.043], [7, 1.2872, 0.0185, 0.0062], [13, 1.2472, 0.0692, 0.0231], [14, 1.1649, 0.1069, 0.0357]]","[0, 0, 0, 0.9362, 0.0638]",680,WG,JaJaquez,"[0.0019, 0.0779, 0.635, 0.2823, 0.0029]",9,21,41,5,4,22,5,7,54,5,3,34,541.0,"[[0, 185, 240], [1, 46, 44], [2, 68, 56], [3, 12, 15], [4, 33, 42], [5, 38, 29], [6, 17, 15], [7, 5, 0], [8, 32, 34], [9, 89, 62], [10, 16, 14]]",439,104,243,196,109.7701,580.8501,100.016,1229.2167,0.5194,0,0.3173,0.8788,0.6214,0.5033,0.3929,0.3377,0.7704,0.2486,0.4475,0.361,0.1915,0.625,0,0.2,1.0,0.6774,0.1429,0.4444,0.75,0.8667,0.3333,0.6889,0.2,0.1111,0.2308,0.6531,0,0.2667,1.0,0.6667,0.5667,0.5,0.0,0.6667,0.1875,0.7031,0.0625,0.2344,0.5833,0.4023,0.1609,0.4368,0.511,0.5889,0.5938,2053,0.146,0.1153,0.0879,0.274,2029,0.1994,0.0238,0.0281,0.0217,0.8356,0.8268,114.2721,4.9261,4.1161,91.8295,87.0488,Luck adjusted,PREPROCESSING_WARNING,-3.4257,-4.3385,Luck adjusted,PREPROCESSING_WARNING,-2.8324,-3.5871,Luck adjusted,PREPROCESSING_WARNING,4432848,24,6-7,Sr,G,"Camarillo, CA",4.2571,4.2571,-4.5133,Adjusted from Def 3P%,-5.0527,PREPROCESSING_WARNING,3.5841,-3.7317,-4.1776,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4702372_Men_2022_all,"Tubelis, Azuolas",Pac 12 Conference,Arizona,2022,"[[0, 0.9189, 0.037, 0.0128], [1, 1.0828, 0.0136, 0.0047], [2, 0.8225, 0.013, 0.0045], [4, 0.7842, 0.022, 0.0076], [5, 1.0469, 0.0172, 0.006], [6, 1.2111, 0.0393, 0.0136], [7, 1.1813, 0.0223, 0.0077], [8, 1.2266, 0.1455, 0.0505], [9, 0.8566, 0.2283, 0.0793], [10, 1.0535, 0.0606, 0.021], [11, 0.9297, 0.0293, 0.0102], [12, 1.0955, 0.0698, 0.0242], [13, 1.2781, 0.1006, 0.0349], [14, 1.3807, 0.2015, 0.0699]]","[0, 0, 0, 0.7105, 0.2895]",507,PF/C,AzTubelis,"[0, 0.0043, 0.2589, 0.3694, 0.3674]",11,199,11,12,116,12,6,78,18,9,52,18,478.0,"[[0, 271, 376], [1, 38, 26], [2, 56, 52], [3, 1, 3], [4, 5, 6], [5, 19, 12], [6, 6, 6], [7, 2, 3], [8, 12, 14], [9, 60, 54], [10, 8, 2]]",449,32,308,141,107.8845,583.9,98.8925,1054.5367,0.588,0,0.3125,1.0,0.6753,0.7163,0.3972,0.5536,0.764,0.3701,0.6403,0.2931,0.0665,0.6,0,0.5,1.0,0.6222,0.0714,0.5,0.0,0.7576,0.5789,0.7895,0.1754,0.0351,0.1471,0.7157,0,0.0,0.0,0.7527,0.9,0.3333,1.0,0.7586,0.5577,0.8942,0.0865,0.0192,0.1233,0.6,0.0571,0.3429,0.58,0.6053,0.7019,1903,0.1367,0.1439,0.105,0.2858,1889,0.2133,0.0363,0.0212,0.023,0.7591,0.7475,117.562,6.2308,4.7296,97.5061,91.4398,Luck adjusted,PREPROCESSING_WARNING,-2.0163,-3.1949,Luck adjusted,PREPROCESSING_WARNING,-1.5073,-2.3883,Luck adjusted,PREPROCESSING_WARNING,4702372,10,6-11,Jr,F,"Vilnius, Republic of Lithuania",5.6722,5.6722,-2.9045,Adjusted from Def 3P%,-3.2747,PREPROCESSING_WARNING,4.3186,-2.1712,-2.4479,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4398390_Men_2022_all,"Pickett, Jalen",Big Ten Conference,Penn St.,2022,"[[0, 1.0071, 0.2956, 0.1357], [1, 1.1227, 0.246, 0.1129], [2, 1.112, 0.0436, 0.02], [3, 1.014, 0.0542, 0.0249], [4, 0.9468, 0.1061, 0.0487], [5, 1.2022, 0.0476, 0.0219], [6, 1.4574, 0.0236, 0.0108], [7, 1.0819, 0.1047, 0.0481], [9, 0.6938, 0.0062, 0.0028], [13, 1.4348, 0.0211, 0.0097], [14, 1.1066, 0.0513, 0.0235]]","[1, 0, 0, 0, 0]",661,s-PG,JaPickett,"[0.5811, 0.344, 0.0582, 0.0166, 0]",6,362,4,2,219,2,7,243,4,4,120,2,512.0,"[[0, 157, 214], [1, 49, 46], [2, 66, 58], [3, 9, 12], [4, 33, 50], [5, 40, 39], [6, 33, 33], [7, 6, 3], [8, 26, 24], [9, 66, 62], [10, 27, 24]]",394,118,146,248,109.791,605.4929,99.1747,1353.3667,0.5457,0,0.3814,0.4889,0.6712,0.1429,0.4718,0.0684,0.7627,0.2305,0.2852,0.4844,0.2305,0.8125,0,0.3333,1.0,0.9167,0.0909,0.5,0.0,0.0,0.0,0.6316,0.2105,0.1579,0.5714,0.4,0,0.5385,0.5714,0.4667,0.2857,0.3,0.0,0.6316,0.5,0.3947,0.2632,0.3421,2.6471,0.2963,0.0453,0.6584,0.5518,0.7632,0.5395,2147,0.39,0.1387,0.0403,0.2983,2146,0.1951,0.0251,0.0163,0.0156,0.8957,0.8949,121.6469,7.3459,6.5798,103.2469,101.4951,Luck adjusted,PREPROCESSING_WARNING,-1.2493,-1.5837,Luck adjusted,PREPROCESSING_WARNING,-1.118,-1.4173,Luck adjusted,PREPROCESSING_WARNING,4398390,22,6-4,Sr,G,"Rochester, NY",6.7227,6.7227,-1.7508,Adjusted from Def 3P%,-1.9875,PREPROCESSING_WARNING,6.0335,-1.5668,-1.7786,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4278014_Men_2022_all,"Carr, Marcus",Big 12 Conference,Texas,2022,"[[0, 0.9074, 0.185, 0.0614], [1, 1.0038, 0.1114, 0.037], [2, 1.1602, 0.1462, 0.0486], [3, 1.0456, 0.0538, 0.0179], [4, 0.8638, 0.1304, 0.0433], [5, 1.1708, 0.0637, 0.0212], [6, 1.2818, 0.0163, 0.0054], [7, 1.1985, 0.054, 0.0179], [9, 1.0058, 0.0217, 0.0072], [13, 0.9218, 0.0356, 0.0118], [14, 1.1653, 0.1821, 0.0605]]","[1, 0, 0, 0, 0]",766,s-PG,MaCarr,"[0.6759, 0.3207, 0.0033, 0, 0]",39,80,68,18,15,36,8,31,33,6,10,24,467.0,"[[0, 63, 74], [1, 17, 18], [2, 19, 14], [3, 10, 21], [4, 60, 66], [5, 74, 72], [6, 58, 51], [7, 7, 6], [8, 20, 12], [9, 112, 108], [10, 27, 20]]",263,223,69,194,111.5707,525.8571,98.6599,1286.7017,0.4791,0,0.3677,0.7805,0.5942,0.2195,0.4381,0.1765,0.7721,0.2798,0.142,0.3992,0.4588,0.3,0,0.3125,1.0,0.0,0.0,0.3,0.0,1.0,0.1923,0.0,0.3846,0.6154,0.625,0.5902,0,0.3061,0.8667,0.7419,0.2609,0.4333,0.0769,0.8723,0.4273,0.2818,0.2727,0.4455,0.7451,0.4713,0.2166,0.3121,0.5123,0.4038,0.5318,2225,0.2246,0.1122,0.0101,0.237,2212,0.0916,0.0247,0.028,0.0017,0.8393,0.831,114.5804,4.3637,3.6625,97.0853,97.4743,Luck adjusted,PREPROCESSING_WARNING,-2.7213,-2.6482,Luck adjusted,PREPROCESSING_WARNING,-2.2612,-2.2005,Luck adjusted,PREPROCESSING_WARNING,4278014,5,6-2,Sr,G,"Toronto, Canada",4.8616,4.8616,-3.4348,Adjusted from Def 3P%,-3.5971,PREPROCESSING_WARNING,4.0733,-2.8541,-2.989,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4432247_Men_2022_all,"Clark, Jaylen",Pac 12 Conference,UCLA,2022,"[[0, 0.8355, 0.237, 0.0617], [1, 1.0956, 0.0677, 0.0176], [2, 0.8043, 0.1362, 0.0355], [3, 0.6794, 0.0189, 0.0049], [4, 0.7213, 0.1184, 0.0308], [5, 1.1002, 0.0449, 0.0117], [6, 1.205, 0.0502, 0.0131], [7, 1.3104, 0.0119, 0.0031], [13, 1.2432, 0.1189, 0.031], [14, 1.4669, 0.1958, 0.051]]","[0, 0.0033, 0.7985, 0.1982, 0]",494,WG,JaClark,"[0.0474, 0.6229, 0.3223, 0.0073, 0]",33,29,86,60,34,113,9,5,90,34,9,119,308.0,"[[0, 109, 158], [1, 51, 38], [2, 21, 14], [3, 14, 9], [4, 22, 15], [5, 25, 24], [6, 15, 24], [7, 5, 6], [8, 6, 4], [9, 32, 22], [10, 8, 8]]",230,79,145,85,109.2155,322.7785,100.2174,914.7467,0.5304,0,0.3291,0.8846,0.6483,0.4043,0.3294,0.3214,0.6979,0.3107,0.4693,0.2751,0.2557,0.5278,0,0.6667,0.75,0.5714,0.1875,0.375,0.6667,0.75,0.4762,0.6667,0.1905,0.1429,0.1739,0.7458,0,0.5714,1.0,0.7857,0.5455,0.0,0.0,0.8077,0.3939,0.8485,0.0455,0.1061,0.375,0.4464,0.2143,0.3393,0.521,0.5952,0.7576,1514,0.1085,0.1146,0.0713,0.2139,1521,0.1606,0.0295,0.0513,0.0109,0.6162,0.6198,117.1673,3.9085,2.4084,92.2724,81.5259,Luck adjusted,PREPROCESSING_WARNING,-3.2516,-5.314,Luck adjusted,PREPROCESSING_WARNING,-2.0154,-3.2937,Luck adjusted,PREPROCESSING_WARNING,4432247,0,6-5,Jr,G,"Riverside, CA",3.5795,3.5795,-4.6392,Adjusted from Def 3P%,-5.3957,PREPROCESSING_WARNING,2.2211,-2.8754,-3.3443,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
4431684_Men_2022_all,"Jackson-Davis, Trayce",Big Ten Conference,Indiana,2022,"[[5, 1.128, 0.0652, 0.026], [7, 1.1264, 0.0065, 0.0026], [8, 1.2077, 0.2019, 0.0803], [9, 0.8546, 0.3156, 0.1256], [10, 1.0689, 0.165, 0.0657], [12, 1.0933, 0.0483, 0.0192], [13, 1.271, 0.0985, 0.0392], [14, 1.4908, 0.099, 0.0394]]","[0, 0, 0, 0, 1]",422,C,TrJackson-da,"[0, 0, 0.0018, 0.0172, 0.9809]",3,129,2,3,49,3,10,185,11,10,115,11,450.0,"[[0, 318, 428], [1, 87, 68], [2, 25, 22], [3, 5, 0], [4, 11, 4], [5, 4, 0]]",450,0,382,68,112.0038,574.2099,98.4104,1104.5767,0.5822,0,0.0,0.0,0.6335,0.5289,0.2941,0.35,0.6952,0.4667,0.8489,0.1511,0.0,0.6269,0,0.0,0.0,0.6667,0.075,0.2857,0.0,0.7083,0.3582,0.8955,0.1045,0.0,0.119,0.7843,0,0.0,0.0,0.7959,0.6923,0.5,0.0,0.7391,0.902,0.9608,0.0392,0.0,0.55,0.4496,0.1705,0.3798,0.5822,0.6269,0.7843,1858,0.2539,0.1428,0.1013,0.3049,1847,0.2433,0.0205,0.0146,0.087,0.779,0.7793,119.9963,7.3907,5.7576,99.2909,95.2528,Luck adjusted,PREPROCESSING_WARNING,-2.3791,-3.1347,Luck adjusted,PREPROCESSING_WARNING,-1.8541,-2.443,Luck adjusted,PREPROCESSING_WARNING,4431684,23,6-9,Sr,F,"Greenwood, IN",6.132,6.132,-2.0854,Adjusted from Def 3P%,-2.3302,PREPROCESSING_WARNING,4.7928,-1.6252,-1.816,Adjusted from Def 3P%,PREPROCESSING_WARNING,High,Men
