_id,key,conf,team,year,style,posFreqs,doc_count,posClass,code,posConfidences,adj_rtg_margin_rank,def_adj_rtg_rank,off_adj_rtg_rank,adj_prod_margin_rank,def_adj_prod_rank,off_adj_prod_rank,adj_rapm_margin_rank,def_adj_rapm_rank,off_adj_rapm_rank,adj_rapm_prod_margin_rank,def_adj_rapm_prod_rank,off_adj_rapm_prod_rank,shotInfo.total_freq,shotInfo.info,total_off_2p_attempts.value,total_off_3p_attempts.value,total_off_2prim_attempts.value,total_off_2pmid_attempts.value,off_adj_opp.value,off_poss.value,def_adj_opp.value,duration_mins.value,off_2p.value,off_2p_ast.value,off_3p.value,off_3p_ast.value,off_2prim.value,off_2prim_ast.value,off_2pmid.value,off_2pmid_ast.value,off_ft.value,off_ftr.value,off_2primr.value,off_2pmidr.value,off_3pr.value,off_scramble_2p.value,off_scramble_2p_ast.value,off_scramble_3p.value,off_scramble_3p_ast.value,off_scramble_2prim.value,off_scramble_2prim_ast.value,off_scramble_2pmid.value,off_scramble_2pmid_ast.value,off_scramble_ft.value,off_scramble_ftr.value,off_scramble_2primr.value,off_scramble_2pmidr.value,off_scramble_3pr.value,off_scramble_assist.value,off_trans_2p.value,off_trans_2p_ast.value,off_trans_3p.value,off_trans_3p_ast.value,off_trans_2prim.value,off_trans_2prim_ast.value,off_trans_2pmid.value,off_trans_2pmid_ast.value,off_trans_ft.value,off_trans_ftr.value,off_trans_2primr.value,off_trans_2pmidr.value,off_trans_3pr.value,off_trans_assist.value,off_ast_rim.value,off_ast_mid.value,off_ast_3p.value,off_efg.value,off_scramble_efg.value,off_trans_efg.value,off_team_poss.value,off_assist.value,off_to.value,off_orb.value,off_usage.value,def_team_poss.value,def_orb.value,def_ftr.value,def_to.value,def_2prim.value,off_team_poss_pct.value,def_team_poss_pct.value,off_rtg.value,off_adj_rtg.value,off_adj_prod.value,def_rtg.value,def_rtg.old_value,def_rtg.override,def_adj_rtg.value,def_adj_rtg.old_value,def_adj_rtg.override,def_adj_prod.value,def_adj_prod.old_value,def_adj_prod.override,roster.ncaa_id,roster.number,roster.height,roster.year_class,roster.pos,roster.origin,roster.lat,roster.lon,off_adj_rapm.value,off_adj_rapm.old_value,off_adj_rapm.pctile,off_adj_rapm.diff_pctile,def_adj_rapm.value,def_adj_rapm.override,def_adj_rapm.old_value,def_adj_rapm.pctile,off_adj_rapm_prod.value,off_adj_rapm_prod.pctile,def_adj_rapm_prod.value,def_adj_rapm_prod.old_value,def_adj_rapm_prod.override,def_adj_rapm_prod.pctile,tier,gender
5175737_Men_2025_all,"Lendeborg, Yaxel",Big Ten Conference,Michigan,2025,"[[0, 1.2771, 0.0536, 0.0151], [1, 1.0798, 0.0582, 0.0164], [2, 0.9641, 0.0796, 0.0224], [3, 0.8364, 0.0553, 0.0156], [4, 0.9759, 0.0103, 0.0029], [5, 1.261, 0.0464, 0.0131], [6, 1.6203, 0.0146, 0.0041], [7, 1.3715, 0.0341, 0.0096], [8, 1.6683, 0.0185, 0.0052], [9, 1.2144, 0.0929, 0.0262], [10, 1.0757, 0.0931, 0.0262], [11, 0.9878, 0.0861, 0.0243], [12, 1.3859, 0.0376, 0.0106], [13, 1.5244, 0.1162, 0.0327], [14, 1.4576, 0.2035, 0.0573]]","[0, 0, 0.2595, 0.6997, 0.0407]",272,S-PF,YaLendeborg,"[0.0053, 0.1317, 0.3455, 0.5161, 0.0013]",1,6,4,2,2,8,1,3,2,2,4,7,148,"[[0, 53, 80], [1, 9, 10], [2, 9, 12], [3, 6, 0], [4, 19, 18], [5, 9, 6], [6, 26, 30], [7, 13, 21], [8, 4, 6]]",77,71,62,15,115.6397,166.6917,104.0019,427.0983,0.7013,0,0.3521,0.84,0.7742,0.4583,0.4,0.1667,0.8644,0.3986,0.4189,0.1014,0.4797,0.7059,0,0.6667,1.0,0.7333,0.0909,0.5,0.0,0.9231,0.65,0.75,0.1,0.15,0.0714,0.75,0,0.4167,1.0,0.8182,0.8333,0.0,0.0,0.8148,0.75,0.6111,0.0556,0.3333,0.6957,0.549,0.0392,0.4118,0.6182,0.75,0.7083,786,0.1796,0.096,0.0821,0.2113,785,0.1766,0.0196,0.0255,0.0549,0.6611,0.6586,145.0213,8.861,5.8577,86.4162,83.7937,Luck adjusted,-5.4889,-5.9815,Luck adjusted,-3.6148,-3.9391,Luck adjusted,5175737,23,6-9,Sr,F,"Pennsauken, NJ",39.9562,-75.058,9.2992,9.2992,1.0,1.0,-6.16,Adjusted from Def 3P%,-6.7049,0.9935,6.1724,0.9961,-4.0567,-4.4156,Adjusted from Def 3P%,0.9935,High,Men
5041935_Men_2025_all,"Boozer, Cameron",Atlantic Coast Conference,Duke,2025,"[[0, 1.0878, 0.2318, 0.0888], [1, 1.0093, 0.123, 0.0471], [2, 1.2948, 0.0699, 0.0268], [3, 1.1976, 0.0289, 0.0111], [4, 0.7672, 0.0246, 0.0094], [5, 1.2684, 0.0491, 0.0188], [6, 1.335, 0.1129, 0.0432], [7, 1.2092, 0.0203, 0.0078], [8, 1.3726, 0.0253, 0.0097], [9, 1.0522, 0.0597, 0.0229], [10, 0.9787, 0.0342, 0.0131], [11, 1.3409, 0.0149, 0.0057], [12, 1.2337, 0.0083, 0.0032], [13, 1.3264, 0.099, 0.0379], [14, 1.1737, 0.0981, 0.0376]]","[0, 0, 0, 0.5831, 0.4169]",281,WF,CmBoozer,"[0.0068, 0.0954, 0.5137, 0.3836, 0.0004]",3,24,3,1,3,1,2,34,4,1,10,1,232,"[[0, 126, 178], [1, 13, 8], [2, 20, 30], [3, 6, 9], [4, 12, 6], [5, 29, 42], [6, 17, 15], [7, 2, 0], [8, 1, 2], [9, 4, 2], [10, 2, 0]]",166,66,145,21,114.9226,293.3083,105.0575,546.8233,0.6627,0,0.3636,0.7917,0.6759,0.4286,0.5714,0.0,0.768,0.5388,0.625,0.0905,0.2845,0.6667,0,0.3333,1.0,0.6087,0.2143,1.0,0.0,0.7143,0.7,0.7667,0.1333,0.1,0.2105,0.9333,0,0.125,1.0,0.9333,0.3571,0.0,0.0,0.75,0.5161,0.4839,0.0,0.5161,1.3125,0.4348,0.0435,0.5217,0.6293,0.65,0.5484,957,0.2546,0.1432,0.113,0.3069,955,0.2213,0.022,0.0325,0.0236,0.8083,0.8005,135.1712,8.9881,7.2648,91.6708,89.7482,Luck adjusted,-4.3945,-4.7579,Luck adjusted,-3.5178,-3.8087,Luck adjusted,5041935,12,6-9,Fr,F,"Miami, FL",25.7664,-80.2103,9.1093,9.1093,0.9961,1.0,-4.5754,Adjusted from Def 3P%,-4.9496,0.9778,7.3397,1.0,-3.6626,-3.9622,Adjusted from Def 3P%,0.9935,High,Men
4848637_Men_2025_all,"Momcilovic, Milan",Big 12 Conference,Iowa St.,2025,"[[0, 0.9782, 0.125, 0.03], [1, 0.8519, 0.0584, 0.014], [2, 1.7719, 0.2647, 0.0635], [3, 1.766, 0.0377, 0.0091], [4, 0.794, 0.08, 0.0192], [5, 1.1573, 0.0092, 0.0022], [6, 1.5299, 0.0353, 0.0085], [7, 1.2588, 0.0049, 0.0012], [8, 1.5479, 0.0081, 0.0019], [9, 0.9054, 0.0537, 0.0129], [10, 0.8201, 0.0166, 0.004], [11, 1.8147, 0.0464, 0.0111], [12, 1.1445, 0.0054, 0.0013], [13, 1.0588, 0.0755, 0.0181], [14, 1.4649, 0.179, 0.043]]","[0, 0, 0.7244, 0.2756, 0]",276,WF,MiMomcilovic,"[0.0159, 0.5402, 0.3885, 0.0554, 0]",5,77,6,11,48,14,3,20,11,6,19,21,172,"[[0, 18, 30], [1, 7, 4], [2, 9, 10], [3, 7, 6], [4, 22, 39], [5, 39, 57], [6, 31, 51], [7, 10, 21], [8, 9, 8], [9, 16, 14], [10, 4, 4]]",68,108,22,46,112.0983,170.4833,107.2313,457.1083,0.5588,0,0.5556,0.9167,0.8182,0.7222,0.4348,0.3,0.8929,0.1591,0.125,0.2614,0.6136,1.0,0,0.2857,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1176,0.0588,0.8235,0.0,0.75,0,0.4545,1.0,0.7778,0.7143,0.6667,1.0,1.0,0.2647,0.2647,0.0882,0.6471,0.2105,0.25,0.1667,0.5833,0.7273,0.5294,0.7059,784,0.046,0.0763,0.0085,0.193,766,0.1212,0.0228,0.0209,0.0083,0.6695,0.653,148.8745,8.2229,5.5053,94.5034,91.1727,Luck adjusted,-3.4092,-4.0545,Luck adjusted,-2.2263,-2.6477,Luck adjusted,4848637,22,6-8,Jr,F,"Pewaukee, WI",43.0607,-88.2154,7.8018,7.8018,0.9961,1.0,-5.1643,Adjusted from Def 3P%,-5.4781,0.9895,5.2234,0.9882,-3.3724,-3.5774,Adjusted from Def 3P%,0.9895,High,Men
5105571_Men_2025_all,"Veesaar, Henri",Atlantic Coast Conference,North Carolina,2025,"[[0, 1.1274, 0.0346, 0.0102], [1, 0.9391, 0.0259, 0.0076], [2, 1.3989, 0.0292, 0.0086], [3, 1.3439, 0.0141, 0.0042], [4, 1.1458, 0.0142, 0.0042], [5, 1.1954, 0.0381, 0.0113], [6, 1.4168, 0.0401, 0.0118], [7, 1.1455, 0.0249, 0.0073], [8, 1.4243, 0.1371, 0.0404], [9, 1.1346, 0.1818, 0.0536], [10, 0.9158, 0.1239, 0.0365], [11, 1.4677, 0.071, 0.0209], [12, 1.2502, 0.0814, 0.024], [13, 1.2357, 0.1179, 0.0348], [14, 1.4904, 0.0659, 0.0194]]","[0, 0, 0, 0.8313, 0.1687]",249,PF/C,HeVeesaar,"[0, 0.0015, 0.1658, 0.7739, 0.0588]",12,58,30,7,18,19,4,17,12,3,5,12,171,"[[0, 82, 132], [1, 9, 12], [2, 20, 14], [3, 4, 9], [4, 35, 54], [5, 4, 6], [6, 2, 2], [7, 13, 16], [8, 2, 2]]",128,43,88,40,111.9728,214.2345,106.5896,526.385,0.6953,0,0.5349,0.913,0.75,0.697,0.575,0.4783,0.6533,0.4386,0.5146,0.2339,0.2515,0.64,0,0.5,1.0,0.7692,0.2,0.5,0.0,0.5455,0.4074,0.4815,0.4444,0.0741,0.0,0.6,0,0.7143,1.0,0.6,1.0,0.0,0.0,0.625,0.6667,0.4167,0.0,0.5833,0.0,0.5143,0.0857,0.4,0.7222,0.6481,0.875,901,0.1241,0.14,0.0932,0.222,904,0.2132,0.0333,0.0088,0.0366,0.7761,0.7661,136.2934,6.6137,5.1326,92.8345,91.8614,Luck adjusted,-3.7124,-3.9011,Luck adjusted,-2.844,-2.9887,Luck adjusted,5105571,13,7-0,Jr,C,"Tallinn, Estonia",59.4013,24.6939,7.4529,7.4529,0.9922,1.0,-5.2646,Adjusted from Def 3P%,-5.479,0.9895,5.8369,0.9922,-4.0333,-4.1975,Adjusted from Def 3P%,0.9935,High,Men
5174973_Men_2025_all,"Cluff, Oscar",Big Ten Conference,Purdue,2025,"[[5, 1.329, 0.0246, 0.0056], [7, 1.1422, 0.0057, 0.0013], [8, 1.5597, 0.3332, 0.0755], [9, 1.1704, 0.144, 0.0326], [10, 1.1433, 0.1545, 0.035], [12, 1.3393, 0.0722, 0.0164], [13, 1.3525, 0.1939, 0.0439], [14, 1.5504, 0.072, 0.0163]]","[0, 0, 0, 0.0061, 0.9939]",178,C,OsCluff,"[0, 0, 0, 0.0006, 0.9994]",2,174,1,6,151,3,5,228,1,19,211,8,110,"[[0, 92, 144], [1, 11, 12], [2, 6, 10], [3, 1, 0]]",110,0,97,13,115.3275,129.3738,105.172,399.43,0.7545,0,0.0,0.0,0.8247,0.775,0.2308,0.3333,0.7292,0.4364,0.8818,0.1182,0.0,0.6786,0,0.0,0.0,0.85,0.2353,0.25,0.0,0.7,0.3571,0.7143,0.2857,0.0,0.4737,0.8182,0,0.0,0.0,0.8182,1.0,0.0,0.0,0.5,0.3636,1.0,0.0,0.0,0.3333,0.3103,0.1379,0.5517,0.7545,0.6786,0.8182,657,0.1165,0.0773,0.2038,0.1838,654,0.2249,0.0492,0.0092,0.0459,0.585,0.5777,162.4659,11.3303,6.6287,101.8331,98.6166,Luck adjusted,-2.5415,-3.1472,Luck adjusted,-1.4683,-1.8183,Luck adjusted,5174973,45,6-11,Sr,C,"Sunshine Coast, Australia",-26.6335,153.0898,10.281,10.281,1.0,1.0,-2.2014,Adjusted from Def 3P%,-2.6245,0.868,6.051,0.9961,-1.2718,-1.5163,Adjusted from Def 3P%,0.8601,High,Men
4873153_Men_2025_all,"Johnson Jr., Morez",Big Ten Conference,Michigan,2025,"[[0, 1.2071, 0.0401, 0.0104], [1, 1.0315, 0.0151, 0.0039], [2, 0.8847, 0.0118, 0.0031], [3, 0, 0.0036, 0.0009], [4, 0.8656, 0.0116, 0.003], [5, 1.1659, 0.0207, 0.0054], [6, 1.3973, 0.0565, 0.0147], [7, 1.1919, 0.009, 0.0023], [8, 1.4284, 0.1899, 0.0494], [9, 1.1579, 0.1858, 0.0483], [10, 0.9238, 0.0879, 0.0229], [11, 1.0934, 0.0313, 0.0082], [12, 1.3018, 0.0605, 0.0157], [13, 1.3025, 0.1389, 0.0361], [14, 1.4558, 0.1373, 0.0357]]","[0, 0, 0, 0.4032, 0.5968]",231,PF/C,MoJohnson,"[0, 0.0008, 0.0621, 0.1575, 0.7796]",4,7,10,12,13,27,6,9,38,26,27,62,132,"[[0, 88, 132], [1, 8, 10], [2, 24, 24], [3, 1, 0], [4, 2, 3], [5, 4, 9], [6, 3, 0], [7, 1, 0], [8, 1, 2]]",120,11,96,24,115.7649,166.25,104.1328,375.5033,0.7,0,0.3636,1.0,0.75,0.7222,0.5,0.3333,0.8167,0.458,0.7328,0.1832,0.084,0.5714,0,0.0,0.0,0.625,0.1,0.4,0.0,0.9231,0.619,0.7619,0.2381,0.0,0.25,0.8095,0,0.5,1.0,0.8824,0.8667,0.5,0.0,0.3333,0.2609,0.7391,0.1739,0.087,0.1667,0.3889,0.0556,0.5556,0.687,0.5714,0.8043,689,0.0807,0.1263,0.1175,0.2149,686,0.181,0.0347,0.0219,0.0592,0.5795,0.5755,140.8971,8.0561,4.6683,87.6482,84.1441,Luck adjusted,-5.2753,-5.9327,Luck adjusted,-3.036,-3.4143,Luck adjusted,4873153,21,6-9,So,F,"Riverdale, IL",41.6334,-87.6331,6.2794,6.2794,0.9804,0.9961,-5.5464,Adjusted from Def 3P%,-6.0953,0.9935,3.6585,0.9647,-3.192,-3.5079,Adjusted from Def 3P%,0.9856,High,Men
4432737_Men_2025_all,"Bradley, Jaden",Big 12 Conference,Arizona,2025,"[[0, 0.9717, 0.2449, 0.0736], [1, 0.9793, 0.1285, 0.0386], [2, 1.1955, 0.0594, 0.0179], [3, 1.1139, 0.0086, 0.0026], [4, 0.9519, 0.09, 0.0271], [5, 1.2004, 0.065, 0.0196], [6, 1.3504, 0.0279, 0.0084], [7, 1.1841, 0.1031, 0.031], [9, 0.8776, 0.0284, 0.0085], [13, 1.0138, 0.0347, 0.0104], [14, 1.4051, 0.2094, 0.063]]","[1, 0, 0, 0, 0]",238,s-PG,JaBradley,"[0.8148, 0.1829, 0.0024, 0, 0]",11,22,48,16,11,42,7,5,57,10,3,53,140,"[[0, 46, 48], [1, 11, 14], [2, 15, 16], [3, 2, 3], [4, 1, 0], [5, 10, 14], [6, 9, 17], [7, 8, 9], [8, 6, 6], [9, 28, 24], [10, 4, 4]]",118,29,52,66,114.5853,181.0655,106.1334,474.7683,0.5169,0,0.4828,0.9286,0.5385,0.25,0.5,0.1212,0.8148,0.551,0.3537,0.449,0.1973,0.1667,0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.75,0.5,0.25,0.25,0.5,0.625,0,0.625,1.0,0.6667,0.3333,0.5714,0.125,0.7561,1.025,0.45,0.35,0.2,1.04,0.5714,0.1299,0.2987,0.5578,0.3125,0.6875,867,0.2533,0.1381,0.0243,0.2154,872,0.1056,0.0297,0.0344,0.0021,0.7026,0.7004,133.7488,6.0456,4.2476,91.3698,89.4541,Luck adjusted,-4.4006,-4.7637,Luck adjusted,-3.0822,-3.3365,Luck adjusted,4432737,0,6-3,Sr,G,"Rochester, NY",43.1603,-77.6268,5.4683,5.4683,0.9686,0.9922,-5.8083,Adjusted from Def 3P%,-6.0725,0.9935,3.8355,0.9686,-4.0682,-4.2532,Adjusted from Def 3P%,0.9935,High,Men
5105815_Men_2025_all,"Kohler, Jaxon",Big Ten Conference,Michigan St.,2025,"[[0, 0.9526, 0.0355, 0.009], [1, 0.8896, 0.0158, 0.004], [2, 1.4162, 0.0653, 0.0166], [3, 0, 0.0094, 0.0024], [4, 0.6875, 0.0164, 0.0042], [5, 1.1547, 0.0456, 0.0116], [6, 1.2974, 0.0185, 0.0047], [7, 1.0333, 0.0172, 0.0044], [8, 1.3311, 0.0659, 0.0168], [9, 0.8584, 0.1977, 0.0503], [10, 0.8666, 0.0776, 0.0198], [11, 1.4656, 0.1185, 0.0302], [12, 1.0109, 0.0487, 0.0124], [13, 1.4729, 0.1556, 0.0396], [14, 1.61, 0.1124, 0.0286]]","[0, 0, 0, 0.9275, 0.0725]",294,PF/C,JaKohler,"[0, 0.0001, 0.0616, 0.9304, 0.0079]",6,13,29,8,6,30,8,14,45,12,8,42,160,"[[0, 54, 72], [1, 10, 12], [2, 11, 14], [3, 4, 6], [4, 26, 39], [5, 24, 39], [6, 7, 15], [7, 3, 0], [8, 7, 4], [9, 3, 6], [10, 11, 6]]",96,64,57,39,115.9854,167.7595,106.9883,478.0917,0.5938,0,0.5156,1.0,0.7018,0.45,0.4359,0.3529,0.8611,0.225,0.3563,0.2437,0.4,0.72,0,0.6667,1.0,0.7857,0.0,0.6364,0.0,0.8333,0.4286,0.5,0.3929,0.1071,0.1,0.8571,0,0.5625,1.0,0.8333,1.0,1.0,1.0,1.0,0.087,0.2609,0.0435,0.6957,0.0,0.5909,0.0909,0.3182,0.6656,0.75,0.8478,800,0.0905,0.155,0.1388,0.2115,796,0.2528,0.0229,0.0176,0.0457,0.7005,0.694,138.1325,6.6142,4.6334,90.597,86.4309,Luck adjusted,-4.7544,-5.5345,Luck adjusted,-3.2995,-3.8409,Luck adjusted,5105815,0,6-9,Sr,F,"American Fork, UT",40.3841,-111.7929,5.9366,5.9366,0.9765,0.9922,-5.3315,Adjusted from Def 3P%,-6.0293,0.9895,4.1739,0.9804,-3.7,-4.1842,Adjusted from Def 3P%,0.9935,High,Men
5142718_Men_2025_all,"Dybantsa, AJ",Big 12 Conference,BYU,2025,"[[0, 1.0921, 0.2702, 0.1049], [1, 1.141, 0.1134, 0.044], [2, 0.8365, 0.0421, 0.0163], [3, 0.7107, 0.0184, 0.0071], [4, 1.0805, 0.0734, 0.0285], [5, 1.1247, 0.0231, 0.009], [6, 1.4893, 0.0309, 0.012], [7, 1.2267, 0.0337, 0.0131], [8, 1.5155, 0.0091, 0.0035], [9, 1.0811, 0.0868, 0.0337], [10, 1.1198, 0.0312, 0.0121], [11, 0.8358, 0.008, 0.0031], [12, 1.2618, 0.0072, 0.0028], [13, 1.5351, 0.0497, 0.0193], [14, 1.3018, 0.2027, 0.0787]]","[0, 0, 0.1721, 0.8117, 0.0162]",303,WF,AjDybantsa,"[0.0446, 0.394, 0.4961, 0.0645, 0.0008]",10,151,12,3,58,6,9,127,6,5,56,4,246,"[[0, 93, 144], [1, 21, 18], [2, 19, 22], [3, 3, 0], [4, 20, 21], [5, 14, 18], [6, 13, 9], [7, 4, 3], [8, 16, 12], [9, 37, 40], [10, 6, 8]]",193,53,90,103,112.4653,326.2913,106.2033,556.8417,0.6321,0,0.3208,0.8824,0.7222,0.2462,0.5534,0.193,0.7603,0.5935,0.3659,0.4187,0.2154,0.8462,0,0.3333,1.0,0.75,0.0,0.8889,0.125,0.875,0.4211,0.2105,0.4737,0.3158,0.3846,0.6585,0,0.3889,1.0,0.7667,0.4348,0.3636,0.75,0.7619,0.7119,0.5085,0.1864,0.3051,0.5588,0.3529,0.0588,0.5882,0.5996,0.7368,0.6356,988,0.2297,0.1471,0.0546,0.3166,967,0.175,0.0145,0.0259,0.0175,0.7955,0.783,130.7678,8.0033,6.3666,98.4898,94.9164,Luck adjusted,-2.699,-3.3891,Luck adjusted,-2.1133,-2.6537,Luck adjusted,5142718,3,6-9,Fr,F,"Brockton, MA",42.0849,-71.0252,8.1038,8.1038,0.9961,0.9922,-3.1009,Adjusted from Def 3P%,-3.817,0.9346,6.4459,0.9961,-2.428,-2.9887,Adjusted from Def 3P%,0.966,High,Men
5174954_Men_2025_all,"Krivas, Motiejus",Big 12 Conference,Arizona,2025,"[[2, 0, 0.0024, 0], [3, 0, 0.0027, 0], [5, 1.1234, 0.0328, 0.0072], [7, 1.099, 0.007, 0.0015], [8, 1.2128, 0.2293, 0.0505], [9, 1.0602, 0.257, 0.0565], [10, 1.0318, 0.0909, 0.02], [11, 0.9132, 0.0175, 0.0038], [12, 1.052, 0.1028, 0.0226], [13, 1.2534, 0.1953, 0.043], [14, 1.7949, 0.0623, 0.0137]]","[0, 0, 0, 0, 1]",183,C,MoKrivas,"[0, 0, 0.0002, 0.0042, 0.9955]",7,3,78,28,5,101,10,2,81,38,9,122,95,"[[0, 65, 92], [1, 12, 10], [2, 9, 6], [3, 1, 0], [4, 3, 3], [5, 5, 4]]",94,4,68,26,114.4387,144.4917,106.1093,396.9,0.617,0,0.25,1.0,0.6324,0.7442,0.5769,0.2667,0.8052,0.7857,0.6939,0.2653,0.0408,0.64,0,0.0,0.0,0.5833,0.1429,0.6923,0.0,0.6667,0.48,0.48,0.52,0.0,0.0625,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.8333,2.4,1.0,0.0,0.0,0.8,0.5,0.0556,0.4444,0.6071,0.64,1.0,712,0.0711,0.173,0.1536,0.2003,724,0.1981,0.0445,0.0138,0.0748,0.577,0.5815,132.0002,5.3072,3.0622,84.1195,81.6512,Luck adjusted,-5.7545,-6.2229,Luck adjusted,-3.3464,-3.6188,Luck adjusted,5174954,13,7-2,Jr,C,"Siauliai, Republic of Lithuania",55.9631,23.3246,4.709,4.709,0.9412,0.9922,-6.3623,Adjusted from Def 3P%,-6.637,0.9935,2.7125,0.9176,-3.6999,-3.8596,Adjusted from Def 3P%,0.9935,High,Men
