year,pick,player_name,player_name_lower
2008,1,Derrick Rose,derrick rose
2008,2,Michael Beasley,michael beasley
2008,3,O.J. Mayo,o.j. mayo
2008,4,Russell Westbrook,russell westbrook
2008,5,Kevin Love,kevin love
2008,6,Danilo Gallinari,danilo gallinari
2008,7,Eric Gordon,eric gordon
2008,8,Joe Alexander,joe alexander
2008,9,D.J. Augustin,d.j. augustin
2008,10,Brook Lopez,brook lopez
2008,11,Jerryd Bayless,jerryd bayless
2008,12,Jason Thompson,jason thompson
2008,13,Brandon Rush,brandon rush
2008,14,Anthony Randolph,anthony randolph
2008,15,Robin Lopez,robin lopez
2008,16,Marreese Speights,marreese speights
2008,17,Roy Hibbert,roy hibbert
2008,18,JaVale McGee,javale mcgee
2008,19,JJ Hickson,jj hickson
2008,20,Alexis Ajinca,alexis ajinca
2008,21,Ryan Anderson,ryan anderson
2008,22,Courtney Lee,courtney lee
2008,23,Kosta Koufos,kosta koufos
2008,24,Serge Ibaka,serge ibaka
2008,25,Nicolas Batum,nicolas batum
2008,26,George Hill,george hill
2008,27,Darrell Arthur,darrell arthur
2008,28,Donte Green,donte green
2008,29,D.J. White,d.j. white
2008,30,J.R. Giddens,j.r. giddens
2008,31,Nikola Pekovic,nikola pekovic
2008,32,Walter Sharpe,walter sharpe
2008,33,Joey Dorsey,joey dorsey
2008,34,Mario Chalmers,mario chalmers
2008,35,DeAndre Jordan,deandre jordan
2008,36,Omer Asik,omer asik
2008,37,Luc Mbah a Moute,luc mbah a moute
2008,38,Kyle Weaver,kyle weaver
2008,39,Sonny Weems,sonny weems
2008,40,Chris Douglas-Roberts,chris douglas-roberts
2008,41,Nathan Jawai,nathan jawai
2008,42,Sean Singletary,sean singletary
2008,43,Patrick Ewing Jr.,patrick ewing jr.
2008,44,Ante Tomic,ante tomic
2008,45,Goran Dragic,goran dragic
2008,46,Trent Plaisted,trent plaisted
2008,47,Bill Walker,bill walker
2008,48,Malik Hairston,malik hairston
2008,49,Richard Hendrix,richard hendrix
2008,50,DeVon Hardin,devon hardin
2008,51,Shan Foster,shan foster
2008,52,Darnell Jackson,darnell jackson
2008,53,Tadija Dragicevic,tadija dragicevic
2008,54,Maarty Leunen,maarty leunen
2008,55,Mike Taylor,mike taylor
2008,56,Sasha Kaun,sasha kaun
2008,57,James Gist,james gist
2008,58,Joe Crawford,joe crawford
2008,59,Deron Washington,deron washington
2008,60,Semih Erden,semih erden
2009,1,Blake Griffin,blake griffin
2009,2,Hasheem Thabeet,hasheem thabeet
2009,3,James Harden,james harden
2009,4,Tyreke Evans,tyreke evans
2009,5,Ricky Rubio,ricky rubio
2009,6,Jonny Flynn,jonny flynn
2009,7,Stephen Curry,stephen curry
2009,8,Jordan Hill,jordan hill
2009,9,DeMar DeRozan,demar derozan
2009,10,Brandon Jennings,brandon jennings
2009,11,Terrence Williams,terrence williams
2009,12,Gerald Henderson,gerald henderson
2009,13,Tyler Hansbrough,tyler hansbrough
2009,14,Earl Clark,earl clark
2009,15,Austin Daye,austin daye
2009,16,James Johnson,james johnson
2009,17,Jrue Holiday,jrue holiday
2009,18,Ty Lawson,ty lawson
2009,19,Jeff Teague,jeff teague
2009,20,Eric Maynor,eric maynor
2009,21,Darren Collison,darren collison
2009,22,Victor Claver,victor claver
2009,23,Omri Casspi,omri casspi
2009,24,Byron Mullens,byron mullens
2009,25,Rodrigue Beaubois,rodrigue beaubois
2009,26,Taj Gibson,taj gibson
2009,27,DeMarre Carroll,demarre carroll
2009,28,Wayne Ellington,wayne ellington
2009,29,Toney Douglas,toney douglas
2009,30,Christian Eyenga,christian eyenga
2009,31,Jeff Ayres,jeff ayres
2009,32,Jermaine Taylor,jermaine taylor
2009,33,Dante Cunningham,dante cunningham
2009,34,Sergio Llull,sergio llull
2009,35,DaJuan Summers,dajuan summers
2009,36,Sam Young,sam young
2009,37,DeJuan Blair,dejuan blair
2009,38,Jon Brockman,jon brockman
2009,39,Jonas Jerebko,jonas jerebko
2009,40,Derrick Brown,derrick brown
2009,41,Jodie Meeks,jodie meeks
2009,42,Patrick Beverley,patrick beverley
