"Antwann Jones","UNC Greensboro",SC,6,9.1,74.5,18.9,37.5,38.35,7.5,17.8,6.6,25.8,1,2,0.5,3,10,0.3,2,6,0.333,2,2,12.5,Sr,6-6,0,-0.641029,73.2393,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2,5,1,5,0.4000,0.2000,0,0,,,114.716,113.768,0.690201,11.0711,-8.01092,-6.60941,-1.40151,-8.90248,11.4857,-5.39101,-3.51148,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,"Wing F",5.84274,1999-05-29
"Elijah Elliott","New Mexico St.",CUSA,13,48.8,112.3,26.5,50.5,53.48,1.3,9.9,23.3,11.5,24,34,0.706,23,52,0.442,22,59,0.373,1,2.1,30.6,Sr,6-1,11,2.00964,122.059,3.3,2026,67572,"Houston, TX",,1.64713680,10,16,13,36,0.6250,0.3611,0,0,,,108.318,107.6,1.81818,40.79,2.24354,3.42834,-1.1848,4.2601,18.6667,4.48102,-0.220919,0.2000,1.6000,1.8000,1.8667,0.8000,0.1333,9.6000,"Scoring PG",13.7938,1999-10-15
"Doctor Bradley","Bethune Cookman",SWAC,2,5.5,95.3,27.7,44.4,50.78,3.3,30.7,41.6,24.2,5,8,0.625,4,8,0.5,0,1,0,3,0,88.9,Sr,6-8,13,0.513365,101.25,2.4,2026,70326,"Los Angeles, CA",,1.75000000,4,5,0,3,0.8000,0.0000,0,0,,,115.554,120.826,0.789941,6.3387,-2.04305,-2.35576,0.31271,2.42406,16.7500,0.0970635,2.32699,0.5000,4.5000,5.0000,3.5000,0.0000,0.5000,6.5000,PF/C,1.69233,2000-10-15
"Rahmir Moore","Delaware St.",MEAC,9,22.4,62.7,15.9,24.2,27.53,4.3,9.5,5.1,11.8,4,7,0.571,5,23,0.217,2,10,0.2,0,1.9,21.2,Sr,6-2,0,-1.64382,58.7136,2.2,2026,70501,"Philadelphia, PA",,2.00000000,3,9,2,14,0.3333,0.1429,0,0,,,111.216,114.503,0.971269,17.7175,-10.0615,-8.11069,-1.95081,-10.2393,15.7462,-7.41883,-2.82043,0.9231,1.0000,1.9231,0.7692,0.3846,0.0000,3.7692,"Wing G",4.69674,2000-07-26
"Alex Hemenway",Evansville,MVC,17,59.6,97.5,14.2,45.8,50.32,0.6,7.6,6.5,11.9,22,28,0.786,6,20,0.3,25,75,0.333,0.9,1.3,29.5,Sr,6-4,12,-0.0250631,92.1144,2.9,2026,70621,"Newburgh, IN",24.0,1.24999995,4,14,2,6,0.2857,0.3333,0,0,,,114.397,111.833,1.8694,58.8485,-2.35198,-1.47779,-0.874196,-2.732,23.1895,-1.83789,-0.894104,0.2105,1.4737,1.6842,0.7895,0.4737,0.1579,6.8421,"Combo G",10.6247,2001-06-17
"Addison Patterson","Eastern Michigan",MAC,17,72.4,117.7,21.6,60.9,61.93,6.7,14.4,19.2,16,24,35,0.686,80,125,0.64,12,36,0.333,1.5,1.8,21.7,Sr,6-7,9,2.66519,118.951,3.1,2026,70754,"Mississauga, Canada",,1.62069395,63,91,17,34,0.6923,0.5000,15,17,0.8824,,105.131,105.069,2.94796,88.5584,4.0686,2.58203,1.48657,4.4822,28.2611,3.52474,0.957455,1.7778,3.7778,5.5556,2.6111,0.8333,0.3889,12.9444,"Wing G",4.27841,2001-06-09
"Rienk Mast",Nebraska,B10,17,71,117.1,27,56.6,59.56,9.2,15.5,20,15.2,39,48,0.813,64,108,0.593,32,90,0.356,1.7,1.1,24.2,Sr,6-10,51,3.70334,130.012,2.4,2026,70772,"Groningen, Netherlands",,1.47060001,39,51,25,57,0.7647,0.4386,0,0,,,97.0575,93.6251,4.01832,90.957,7.2742,4.64334,2.63086,7.32873,28.3882,5.75731,1.57142,2.2353,4.1765,6.4118,2.9412,0.5294,0.3529,15.4706,"Stretch 4",10.8081,2001-07-19
"Rick Issanza","Loyola Marymount",WCC,18,33.4,112.3,11,63.6,58.43,11.2,13.4,3.4,18.3,6,17,0.353,21,32,0.656,0,1,0,10.8,0.4,51.5,Sr,7-1,22,0.312971,98.8161,6,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.55562597,18,26,3,6,0.6923,0.5000,13,16,0.8125,,102.399,99.41,1.71222,49.1141,3.17655,-2.85372,6.03028,0.230219,14.2316,-3.27697,3.50719,1.3684,1.7368,3.1053,0.2632,0.1579,1.4211,2.7368,C,0.224017,2000-10-15
"Steele Venters",Gonzaga,WCC,19,41.4,124,14.7,59.4,61.43,1.5,7.6,10.2,15.3,10,11,0.909,7,12,0.583,31,78,0.397,0.8,2.6,12.2,Sr,6-7,2,1.45662,117.767,3.5,2026,70941,"Ellensburg, WA",,1.84624388,6,8,1,4,0.7500,0.2500,2,2,1.0000,,95.3529,92.1195,2.43048,59.738,6.21981,3.98715,2.23265,5.82135,16.6684,2.97167,2.84968,0.2105,1.2632,1.4737,1.2632,0.7895,0.1053,6.1579,"Wing G",13.4231,2001-05-16
"Micah Thomas","Northwestern St.",Slnd,15,71.5,104.5,30.9,48.1,56.14,1.2,5.6,22,16.9,69,73,0.945,53,120,0.442,25,68,0.368,0.8,1,38.8,Sr,6-0,5,2.74452,120.064,2.5,2026,70961,"Oklahoma City, OK",,1.13157072,17,36,36,84,0.4722,0.4286,0,0,,,122.353,123.925,1.04158,49.6676,-4.73413,0.737756,-5.47189,-1.69088,28.1353,2.88721,-4.57809,0.2941,1.2941,1.5882,2.5294,0.7647,0.1765,16.8824,"Scoring PG",9.35112,2000-10-15
"Rashaun Agee","Texas A&M",SEC,17,58.2,126.3,23.3,55.3,60.82,12.9,26.9,13,11.8,66,87,0.759,68,108,0.63,7,34,0.206,4.3,2.5,61.3,Sr,6-7,12,3.08883,130.625,4.1,2026,71003,"Chicago, IL",,1.42855997,56,84,12,24,0.6667,0.5000,10,11,0.9091,,96.2285,94.5809,3.22051,101.703,8.10367,3.71884,4.38483,7.66502,23.8118,5.25049,2.41453,2.7647,5.8235,8.5882,1.7647,1.1176,0.8824,13.1176,PF/C,4.44614,2000-11-02
"Tyler Cochran","Rhode Island",A10,18,72.9,104.9,23.5,44.8,50.07,5.2,16.8,12.4,14.1,54,73,0.74,52,107,0.486,20,76,0.263,1,6.3,39.9,Sr,6-2,23,1.49112,107.156,3.4,2026,71025,"Bolingbrook, IL",,1.10346969,44,83,8,24,0.5301,0.3333,0,0,,,92.7568,92.5263,4.2381,127.75,4.4494,0.396218,4.05318,4.64214,29.1556,0.234616,4.40752,1.2222,4.0000,5.2222,1.7778,3.0556,0.2222,12.1111,"Combo G",8.69823,2000-10-15
"Curt Lewis","Southern Miss",SB,17,69.3,115.4,11.2,52.6,53.99,3,9.9,6.7,10.8,10,14,0.714,8,22,0.364,29,76,0.382,1.5,2.3,14.3,Sr,6-5,1,0.65966,99.2791,2.5,2026,71299,"Louisville, KY",,1.69234141,5,10,3,12,0.5000,0.2500,1,1,1.0000,,109.082,109.87,2.35987,79.3854,1.48232,0.446881,1.03544,0.91525,26.7895,0.0801762,0.835073,0.6842,2.3158,3.0000,1.1579,1.0526,0.3158,6.6316,"Wing G",9.16273,2000-10-15
