name,name_lower,status,pick,college,br_profile_url,draft_year
"Johnson, Cameron","johnson, cameron",drafted,11.0,North Carolina,https://www.basketball-reference.com/players/j/johnsca02.html,2019
"Williamson, Zion","williamson, zion",drafted,1.0,Duke,https://www.basketball-reference.com/players/w/willizi01.html,2019
"Clarke, Brandon","clarke, brandon",drafted,21.0,Gonzaga,https://www.basketball-reference.com/players/c/clarkbr01.html,2019
"Hunter, De'Andre","hunter, de'andre",drafted,4.0,Virginia,https://www.basketball-reference.com/players/h/huntede01.html,2019
"Winston, Cassius","winston, cassius",drafted,43.0,Michigan St.,https://www.basketball-reference.com/players/w/winstca01.html,2020
"Barrett, RJ","barrett, rj",drafted,3.0,Duke,https://www.basketball-reference.com/players/b/barrerj01.html,2019
"Williams, Grant","williams, grant",drafted,22.0,Tennessee,https://www.basketball-reference.com/players/w/willigr01.html,2019
"Guy, Kyle","guy, kyle",drafted,55.0,Virginia,https://www.basketball-reference.com/players/g/guyky01.html,2019
"Tillman, Xavier","tillman, xavier",drafted,35.0,Michigan St.,,
"Hachimura, Rui","hachimura, rui",drafted,9.0,Gonzaga,https://www.basketball-reference.com/players/h/hachiru01.html,2019
"Washington, PJ","washington, pj",drafted,12.0,Kentucky,,
"Weatherspoon, Quinndary","weatherspoon, quinndary",drafted,49.0,Mississippi St.,https://www.basketball-reference.com/players/w/weathqu01.html,2019
"Edwards, Carsen","edwards, carsen",drafted,26.0,Purdue,https://www.basketball-reference.com/players/e/edwarca01.html,2019
"Jerome, Ty","jerome, ty",drafted,37.0,Virginia,https://www.basketball-reference.com/players/j/jeromty01.html,2019
"Culver, Jarrett","culver, jarrett",drafted,6.0,Texas Tech,https://www.basketball-reference.com/players/c/culveja01.html,2019
"Herro, Tyler","herro, tyler",drafted,13.0,Kentucky,https://www.basketball-reference.com/players/h/herroty01.html,2019
"Okeke, Chuma","okeke, chuma",drafted,16.0,Auburn,https://www.basketball-reference.com/players/o/okekech01.html,2019
"Haliburton, Tyrese","haliburton, tyrese",drafted,12.0,Iowa St.,https://www.basketball-reference.com/players/h/halibty01.html,2020
"Fernando, Bruno","fernando, bruno",drafted,34.0,Maryland,https://www.basketball-reference.com/players/f/fernabr01.html,2019
"Jones, Tre","jones, tre",drafted,37.0,Duke,https://www.basketball-reference.com/players/j/jonestr01.html,2020
"Waters, Tremont","waters, tremont",drafted,52.0,LSU,https://www.basketball-reference.com/players/w/watertr01.html,2019
"White, Coby","white, coby",drafted,7.0,North Carolina,https://www.basketball-reference.com/players/w/whiteco01.html,2019
"Merrill, Sam","merrill, sam",drafted,60.0,Utah St.,https://www.basketball-reference.com/players/m/merrisa01.html,2020
"Mann, Terance","mann, terance",drafted,48.0,Florida St.,https://www.basketball-reference.com/players/m/mannte01.html,2019
"Gafford, Daniel","gafford, daniel",drafted,38.0,Arkansas,https://www.basketball-reference.com/players/g/gaffoda01.html,2019
"Kabengele, Mfiondu","kabengele, mfiondu",drafted,27.0,Florida St.,https://www.basketball-reference.com/players/k/kabenmf01.html,2019
"Brazdeikis, Ignas","brazdeikis, ignas",drafted,47.0,Michigan,https://www.basketball-reference.com/players/b/brazdig01.html,2019
"Alexander-Walker, Nickeil","alexander-walker, nickeil",drafted,17.0,Virginia Tech,https://www.basketball-reference.com/players/a/alexani01.html,2019
"Shayok, Marial","shayok, marial",drafted,54.0,Iowa St.,https://www.basketball-reference.com/players/s/shayoma01.html,2019
"Schofield, Admiral","schofield, admiral",drafted,42.0,Tennessee,https://www.basketball-reference.com/players/s/schofad01.html,2019
"Johnson, Keldon","johnson, keldon",drafted,30.0,Kentucky,https://www.basketball-reference.com/players/j/johnske04.html,2019
"Nwora, Jordan","nwora, jordan",drafted,45.0,Louisville,https://www.basketball-reference.com/players/n/nworajo01.html,2020
"Nowell, Jaylen","nowell, jaylen",drafted,57.0,Washington,https://www.basketball-reference.com/players/n/nowelja01.html,2019
"Bone, Jordan","bone, jordan",drafted,56.0,Tennessee,https://www.basketball-reference.com/players/b/bonejo01.html,2019
"Garza, Luka","garza, luka",drafted,52.0,Iowa,https://www.basketball-reference.com/players/g/garzalu01.html,2021
"Hayes, Jaxson","hayes, jaxson",drafted,8.0,Texas,https://www.basketball-reference.com/players/h/hayesja02.html,2019
