torvik_id,weight
51753,245
48177,175
45330,175
51280,195
47100,265
46504,205
45188,221
65854,214
51602,229
44722,185
45185,195
47325,200
52111,210
65847,284
39114,195
51732,230
42510,230
50520,180
66474,205
41005,227
48365,230
50459,270
51076,250
43790,215
44799,175
48211,167
65579,185
48366,205
41354,205
49187,236
65663,185
38752,228
51308,175
42122,180
40846,195
51951,240
47636,195
50681,190
44798,217
40637,198
65855,185
65631,195
34238,190
48433,210
41382,250
34930,237
51462,230
41748,215
47902,205
37686,225
49591,230
65491,221
40843,241
40498,232
67730,245
48424,250
50477,205
51358,265
39111,220
41251,240
35662,198
42961,250
45572,195
43501,228
50470,240
39147,225
42130,241
41628,193
41470,211
66092,220
45002,207
65856,230
50605,225
39198,188
51093,225
52287,208
48524,230
48763,195
65745,258
45394,175
48215,245
34376,230
41636,190
45386,245
49185,180
49186,193
35122,250
45291,175
47104,190
51595,243
66595,220
46727,245
36151,185
47511,249
39878,245
45557,204
40037,234
46595,215
33823,190
41245,205
50343,232
47996,230
42507,185
47106,170
41133,200
50346,194
50869,205
39618,199
51305,215
42795,190
44220,210
38447,210
37971,238
36354,194
41240,230
65484,220
35537,200
40633,230
65891,216
51348,245
40153,240
39510,235
39991,220
42968,217
65497,210
65725,210
47357,215
51298,250
65495,215
66609,165
39479,244
52084,195
48760,185
47672,225
66097,230
48923,205
38302,201
46210,181
42053,180
50234,200
41743,269
51033,245
65767,225
50706,215
41358,201
51075,185
66113,193
37332,255
50237,235
48429,249
39480,235
42135,216
67803,200
47641,210
40195,195
48029,245
42865,175
40951,310
40628,193
44417,185
66114,235
44423,255
47997,215
41693,240
51050,224
34538,213
66492,205
46509,253
48427,215
66098,191
68112,200
47918,187
67729,185
47779,205
40731,187
67637,248
68348,255
47328,175
44830,205
41371,190
50873,195
47237,209
43894,232
40256,225
65716,220
51932,250
41082,180
39003,218
66608,170
45565,215
48372,170
65915,266
65858,180
66708,210
65720,269
66483,190
43029,202
50685,230
51481,160
45693,225
47506,195
44878,244
38753,170
47429,218
65889,215
48489,220
37441,220
47058,190
34802,228
66561,205
65517,230
66594,185
35772,205
65578,190
38027,218
51272,215
46312,187
66527,260
42142,160
44768,213
66229,255
50498,205
66542,210
48432,225
42312,235
41524,210
51991,185
42153,240
50711,195
40632,225
66107,194
66069,245
51728,245
43162,205
66091,190
41727,238
44859,225
35780,195
51746,252
46315,180
65661,234
49484,175
50924,200
46089,175
47774,177
65530,230
66008,228
50376,189
50251,220
46593,210
49482,255
65583,250
39973,250
66011,230
51956,200
51390,180
39010,220
65846,217
65906,230
67678,185
34747,215
65679,195
51933,195
49483,255
51236,200
40886,217
65862,205
51115,175
42799,225
50773,200
51639,190
66219,210
65442,167
44872,210
52282,240
35389,225
50235,195
50187,225
40044,210
48454,235
45032,190
50597,260
39768,215
66653,220
48218,185
51592,220
35889,200
40883,190
66157,209
43687,205
48761,230
50639,190
39769,183
45636,180
50663,175
49182,235
41513,270
51373,225
41364,225
36752,170
65458,220
51807,225
51187,260
65586,215
65669,210
51180,205
50818,210
48490,205
44742,180
41373,180
40203,210
49404,180
39159,230
42446,175
36899,200
65547,205
39108,214
44541,221
66162,264
39821,205
43355,235
39146,185
39106,204
46092,255
66208,235
37265,245
65726,230
41943,260
47430,185
48263,200
32009,185
51561,260
47674,205
43771,195
45860,225
41089,222
66520,190
33702,170
43129,185
39149,255
66273,196
46718,185
39272,245
44721,200
46551,205
41907,200
50948,230
52141,210
46600,220
66612,250
65952,185
41534,217
49383,230
42146,221
51634,215
47052,200
51924,215
45352,220
50358,179
34711,225
37106,185
49379,173
50538,228
47639,239
50609,201
44628,260
44724,200
66289,205
51363,186
66482,245
41473,208
50704,220
46510,190
66068,225
66532,233
51383,210
43965,185
51237,190
66706,203
51835,225
39120,205
66363,228
66515,180
39877,195
50774,220
67893,245
41434,225
65963,215
47417,258
65867,185
45028,190
66315,205
45767,205
66420,200
50466,170
46599,190
45306,199
41974,205
66643,225
51990,206
44213,230
36487,200
66221,186
65893,190
39702,185
36402,217
50825,185
44796,215
50612,210
43746,240
50189,203
65925,225
44845,267
46316,240
50276,165
52063,225
46150,185
47239,220
50794,205
35664,250
48495,166
45620,225
66220,258
43715,185
47422,240
43384,205
66163,205
66579,245
